Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD_TDB	AIRMASS	WMSHUMID	CCDATEMP	 CCD-TEMP	EXPTIME	RA	DEC	AIR	DQUALITY	FOCPOSN	MOONFRAC	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_T4	rel_flux_C5	rel_flux_C6	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_T4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_T4	rel_flux_SNR_C5	rel_flux_SNR_C6	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_T4	Y(IJ)_T4	X(FITS)_T4	Y(FITS)_T4	RA_T4	DEC_T4	Source-Sky_T4	Source_Error_T4	Source_SNR_T4	Peak_T4	Mean_T4	Sky/Pixel_T4	FWHM_T4	Width_T4	X-Width_T4	Y-Width_T4	Angle_T4	Roundness_T4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	rel_flux_T1_n	rel_flux_err_T1_n
ogg2m001-ep03-20210522-0155-e91.fits	1	0	59357.950739	2459357.950739	2459357.955108	1.018474	41.100000	-55	NaN	83	16.352046	31.578744	NaN	NaN	1.994286	0.864821	9.679851	15	30	45	0.087333	0.684675	0.191724	0.578362	0.646573	0.041697	0.000108	0.000420	0.000166	0.000281	0.000399	0.000091	807.440615	1629.082590	1156.858192	2056.034012	1620.691460	459.514726	13295561.685624	4055.639738	1032.237450	1039.138172	1032.737450	1009.361828	16.351999	31.577614	1161135.225441	706.858347	1393.743447	833.105424	18526.193359	1642.670318	755.657661	3022	9.522220	9.800389	9.739211	9.861566	49.322446	0.993102	1880.928873	897.597428	1881.428873	1150.902572	16.347049	31.587889	5403497.868186	2489.089928	2170.872899	78278.507812	7644.385740	762.335721	9.829133	9.831524	9.642679	10.020369	58.476333	0.992822	1972.795581	1219.852632	1973.295581	828.647368	16.346522	31.563856	2138988.174896	1709.223233	1251.438744	33318.878906	3026.049256	755.911279	9.855853	9.841814	9.617854	10.065774	57.735355	0.988812	97.774228	1351.282816	98.274228	697.217184	16.357451	31.554611	7689651.709757	2913.062191	2639.714227	115577.367188	10878.631825	770.471224	9.487822	9.711848	9.677550	9.746146	47.153017	0.991151	188.506605	1965.157649	189.006605	83.342351	16.356934	31.508869	5220876.378070	2452.781937	2128.553011	78979.851562	7386.029181	768.058311	9.610719	9.822576	9.723835	9.921317	49.522614	0.983649	1396.865859	1496.057853	1397.365859	552.442147	16.349885	31.543474	532199.264472	1146.761405	464.088922	8708.764648	752.907944	753.327342	9.773359	9.794912	9.683400	9.906424	51.347834	0.989269	0.997824	0.001236
ogg2m001-ep03-20210522-0156-e91.fits	2	0	59357.951760	2459357.951760	2459357.956129	1.018657	41.700000	-55	NaN	83	16.352046	31.578748	NaN	NaN	1.988306	0.864884	9.625928	15	30	45	0.087499	0.684510	0.191724	0.578218	0.646780	0.041678	0.000108	0.000420	0.000166	0.000281	0.000399	0.000091	807.549535	1628.207962	1155.487209	2055.068370	1619.651980	458.453083	13288034.101986	4056.104416	1032.222085	1039.132007	1032.722085	1009.367993	16.351999	31.577619	1162684.552980	706.858347	1395.341333	833.261744	16923.304688	1644.862168	759.222775	3020	9.485321	9.812856	9.700631	9.925081	56.632377	0.996647	1880.903234	897.599100	1881.403234	1150.900900	16.347049	31.587892	5399664.257334	2487.863447	2170.402183	73835.476562	7638.962290	766.435838	9.713422	9.816775	9.561261	10.072288	67.185649	0.994466	1972.751384	1219.899448	1973.251384	828.600552	16.346522	31.563857	2137776.052669	1710.466909	1249.820176	29581.050781	3024.334453	760.980727	9.731217	9.807493	9.493557	10.121429	67.489857	0.991814	97.731802	1351.371416	98.231802	697.128584	16.357451	31.554609	7683381.355459	2911.655742	2638.835781	105460.953125	10869.761088	774.480916	9.423315	9.745779	9.650469	9.841089	53.754567	0.995774	188.478687	1965.245322	188.978687	83.254678	16.356933	31.508869	5218934.751163	2453.212254	2127.388180	70740.734375	7383.282341	772.306324	9.608065	9.796447	9.602134	9.990760	56.073329	0.988935	1396.828021	1496.152540	1397.328021	552.347460	16.349885	31.543472	531659.040820	1148.290510	463.000466	7958.177734	752.143683	757.857087	9.794227	9.795310	9.601753	9.988867	58.904708	0.992830	0.999722	0.001238
ogg2m001-ep03-20210522-0157-e91.fits	3	0	59357.952782	2459357.952782	2459357.957151	1.018874	42.000000	-55	NaN	83	16.352045	31.578747	NaN	NaN	1.988306	0.864947	9.677745	15	30	45	0.087328	0.685308	0.191491	0.578051	0.646236	0.041769	0.000108	0.000421	0.000166	0.000281	0.000399	0.000091	805.859944	1628.668520	1154.672287	2055.320544	1620.019594	459.248881	13314223.203638	4063.255725	1031.909037	1039.111101	1032.409037	1009.388899	16.351999	31.577619	1162704.593066	706.858347	1398.498681	831.394845	17751.296875	1644.890519	765.966824	3070	9.583295	9.707520	9.767724	9.647317	36.214093	0.998312	1880.580388	897.544474	1881.080388	1150.955526	16.347049	31.587897	5414049.399385	2493.138687	2171.579715	81631.921875	7659.313103	774.162834	9.693827	9.657826	9.555926	9.759726	57.299066	0.997431	1972.417424	1219.830874	1972.917424	828.669126	16.346522	31.563861	2139805.490668	1713.626626	1248.699955	33333.339844	3027.205521	768.802973	9.768062	9.663049	9.471335	9.854763	61.002805	0.994399	97.522155	1351.304493	98.022155	697.195507	16.357451	31.554610	7696296.956976	2916.352562	2639.014589	111334.125000	10888.032926	782.030983	9.563114	9.668330	9.753586	9.583074	36.036569	0.996718	188.237865	1965.133758	188.737865	83.366242	16.356934	31.508869	5226546.519454	2456.248284	2127.857576	73989.031250	7394.050790	778.208039	9.692221	9.785094	9.765922	9.804267	46.269731	0.992178	1396.556077	1496.101156	1397.056077	552.398844	16.349885	31.543472	533821.794131	1150.927768	463.818677	8157.030273	755.203353	765.138127	9.765952	9.811805	9.770938	9.852672	48.956865	0.996340	0.997772	0.001238
ogg2m001-ep03-20210522-0158-e91.fits	4	0	59357.953803	2459357.953803	2459357.958172	1.019127	42.200000	-55	NaN	83	16.352044	31.578752	NaN	NaN	1.990176	0.865000	9.795727	15	30	45	0.087565	0.685849	0.191242	0.575617	0.646488	0.041652	0.000109	0.000421	0.000166	0.000281	0.000399	0.000091	806.280725	1627.315032	1152.309103	2050.933615	1618.838028	456.637167	13302272.498049	4063.560404	1031.868446	1039.214455	1032.368446	1009.285545	16.351999	31.577617	1164810.588857	706.858347	1400.165622	831.909147	21269.451172	1647.869893	771.426749	3005	9.629565	9.779941	9.754512	9.805370	49.632344	0.998957	1880.543413	897.646947	1881.043413	1150.853053	16.347048	31.587892	5411726.463678	2493.169412	2170.621234	93142.484375	7656.026821	779.986211	9.841768	9.767601	9.584433	9.950768	70.817849	0.997714	1972.377367	1219.898199	1972.877367	828.601801	16.346522	31.563858	2135546.214582	1714.108731	1245.863915	36334.675781	3021.179878	773.471790	9.831319	9.788675	9.527718	10.049632	71.140611	0.995463	97.424713	1351.382697	97.924713	697.117303	16.357451	31.554612	7657011.629085	2909.863852	2631.398587	115691.171875	10832.455556	786.915827	9.764351	9.756078	9.739570	9.772586	47.583922	0.998588	188.133226	1965.209678	188.633226	83.290322	16.356934	31.508870	5223094.517098	2455.191864	2127.367149	90591.437500	7389.167206	783.151745	9.937810	9.855055	9.711878	9.998233	57.131910	0.995002	1396.480607	1496.139660	1396.980607	552.360340	16.349885	31.543473	531905.302691	1153.470247	461.134827	9948.464844	752.492073	770.376681	9.769547	9.725214	9.616477	9.833951	56.826316	0.996894	1.000478	0.001241
ogg2m001-ep03-20210522-0159-e91.fits	5	0	59357.954848	2459357.954848	2459357.959217	1.019420	41.799000	-55	NaN	83	16.352044	31.578731	NaN	NaN	1.990253	0.865063	9.406926	15	30	45	0.087496	0.685327	0.191815	0.578594	0.646227	0.041517	0.000109	0.000422	0.000166	0.000282	0.000400	0.000091	805.176077	1625.446013	1153.337692	2052.475261	1616.580480	454.136775	13287253.459533	4063.872050	1031.753661	1038.949564	1032.253661	1009.550436	16.351999	31.577615	1162580.753435	706.858347	1399.417369	830.760557	18519.589844	1644.715321	773.503599	2927	9.298248	9.763672	9.788565	9.738779	40.835964	0.998761	1880.389726	897.462870	1880.889726	1151.037130	16.347049	31.587889	5403174.332061	2491.892263	2168.301741	84899.820312	7643.928030	783.402915	9.495115	9.733737	9.600926	9.866548	66.382348	0.998385	1972.249674	1219.728321	1972.749674	828.771679	16.346522	31.563855	2138500.682957	1714.198136	1247.522464	33813.687500	3025.359596	774.828891	9.460386	9.755334	9.543791	9.966876	69.681901	0.996737	97.390690	1351.120496	97.890690	697.379504	16.357451	31.554606	7687924.652628	2915.714410	2636.720739	114811.468750	10876.188539	788.122220	9.286546	9.756017	9.815293	9.696741	34.842781	0.998775	188.087473	1964.927549	188.587473	83.572451	16.356933	31.508867	5215917.508988	2456.208264	2123.564840	76004.203125	7379.013816	787.218751	9.487302	9.855477	9.803090	9.907864	49.595990	0.995571	1396.404112	1495.904098	1396.904112	552.595902	16.349885	31.543472	529660.935527	1155.030174	458.568917	9064.376953	749.316943	772.419660	9.413961	9.689666	9.613811	9.765521	53.479048	0.997119	0.999691	0.001242
ogg2m001-ep03-20210522-0160-e91.fits	6	0	59357.955869	2459357.955869	2459357.960238	1.019742	41.200000	-55	NaN	83	16.352044	31.578743	NaN	NaN	1.990253	0.865127	9.392273	15	30	45	0.087465	0.685314	0.191573	0.577182	0.646162	0.041733	0.000109	0.000421	0.000166	0.000281	0.000399	0.000091	805.086361	1626.256018	1152.687258	2051.536025	1617.677794	457.036222	13290550.493941	4062.455671	1031.799818	1039.091956	1032.299818	1009.408044	16.351999	31.577617	1162456.052932	706.858347	1399.487124	830.630045	18057.220703	1644.538906	774.144306	3061	9.331959	9.934711	9.970545	9.898878	38.513380	0.998967	1880.510228	897.576615	1881.010228	1150.923385	16.347048	31.587888	5404454.521168	2491.822400	2168.876290	82677.304688	7645.739127	781.810248	9.351360	9.872716	9.753065	9.992366	62.290618	0.998177	1972.318652	1219.806582	1972.818652	828.693418	16.346522	31.563857	2136764.606009	1714.191497	1246.514529	34300.214844	3022.903549	775.715477	9.361716	9.859218	9.695289	10.023146	61.757577	0.996375	97.357994	1351.299004	97.857994	697.200996	16.357450	31.554610	7671063.037789	2912.644548	2633.710675	112821.046875	10852.334233	791.135557	9.296863	9.876988	9.970399	9.783577	31.597445	0.998241	188.080127	1965.147499	188.580127	83.352501	16.356933	31.508871	5216892.426553	2454.619700	2125.336330	70513.984375	7380.393042	786.558779	9.508834	9.991002	9.973709	10.008295	46.472293	0.995459	1396.444981	1496.062525	1396.944981	552.437475	16.349885	31.543473	532438.940211	1153.584349	461.551807	8521.803711	753.247015	773.263516	9.502906	9.900642	9.858528	9.942755	49.391329	0.996896	0.999336	0.001241
ogg2m001-ep03-20210522-0161-e91.fits	7	0	59357.956890	2459357.956890	2459357.961259	1.020098	41.100000	-55	NaN	83	16.352044	31.578718	NaN	NaN	1.990633	0.865190	9.736741	15	30	45	0.087382	0.685064	0.191652	0.578042	0.645849	0.041894	0.000109	0.000421	0.000166	0.000282	0.000399	0.000092	804.566307	1626.402736	1152.931300	2052.989820	1617.726504	457.559990	13308578.271847	4067.818771	1031.826347	1038.757533	1032.326347	1009.742467	16.351998	31.577616	1162927.028179	706.858347	1401.020681	830.057003	17002.812500	1645.205200	779.099361	3012	9.563386	9.980942	10.029978	9.931905	39.399389	0.997441	1880.510067	897.170388	1881.010067	1151.329612	16.347048	31.587891	5410612.266618	2494.185025	2169.290655	75320.812500	7654.450555	787.771048	9.701120	9.925574	9.760224	10.090925	60.980195	0.996040	1972.332435	1219.433911	1972.832435	829.066089	16.346522	31.563857	2140400.258917	1716.682820	1246.823370	29659.451172	3028.046946	781.639400	9.830928	9.916947	9.706419	10.127474	60.983388	0.993574	97.328622	1350.965785	97.828622	697.534215	16.357451	31.554612	7692913.111319	2917.599803	2636.726635	104212.679688	10883.245764	794.060693	9.572347	9.927591	9.978975	9.876207	39.860904	0.996634	188.042428	1964.784794	188.542428	83.715206	16.356934	31.508874	5222430.837164	2457.245307	2125.319284	66678.078125	7388.228291	790.595424	9.837321	10.054136	9.993084	10.115188	48.797383	0.991557	1396.467174	1495.718212	1396.967174	552.781788	16.349885	31.543472	535134.909147	1158.074356	462.090285	7900.470215	757.061031	779.275540	9.915341	9.998918	9.966738	10.031097	47.338043	0.993766	0.998387	0.001241
ogg2m001-ep03-20210522-0162-e91.fits	8	0	59357.957911	2459357.957911	2459357.962280	1.020488	41.299000	-55	NaN	83	16.352043	31.578763	NaN	NaN	1.994777	0.865254	9.697061	15	30	45	0.087427	0.685175	0.191954	0.578384	0.645948	0.041581	0.000109	0.000422	0.000167	0.000282	0.000400	0.000092	802.534146	1624.680056	1151.681014	2051.698825	1615.946160	453.718699	13305028.573086	4071.625592	1031.646657	1039.426113	1032.146657	1009.073887	16.351999	31.577612	1163217.588877	706.858347	1405.039078	827.889848	17381.150391	1645.616259	787.171287	3008	9.575442	9.824865	9.758801	9.890928	51.943951	0.996861	1880.335565	897.845117	1880.835565	1150.654883	16.347049	31.587891	5409689.309433	2495.537800	2167.744888	80060.125000	7653.144837	795.444886	9.660053	9.779511	9.551814	10.007208	64.748443	0.994646	1972.172430	1220.078437	1972.672430	828.421563	16.346522	31.563859	2142661.046414	1720.328618	1245.495206	32682.527344	3031.245306	791.254902	9.557955	9.798454	9.500034	10.096875	66.677740	0.992142	97.203776	1351.573175	97.703776	696.926825	16.357451	31.554606	7695418.248658	2919.298392	2636.050590	104668.218750	10886.789808	801.941425	9.789818	9.839712	9.817678	9.861746	47.466635	0.997288	187.915595	1965.394279	188.415595	83.105721	16.356934	31.508866	5221522.861766	2459.016981	2123.418790	72508.265625	7386.943768	800.302275	9.845169	9.945574	9.796256	10.094893	54.975441	0.992259	1396.240090	1496.345442	1396.740090	552.154558	16.349885	31.543471	531155.355473	1159.366632	458.142697	8328.005859	751.431114	787.031411	9.753930	9.793846	9.648901	9.938791	56.402365	0.994171	0.998902	0.001245
ogg2m001-ep03-20210522-0163-e91.fits	9	0	59357.958933	2459357.958933	2459357.963302	1.020912	41.500000	-55	NaN	83	16.352044	31.578739	NaN	NaN	1.994777	0.865318	9.126693	15	30	45	0.087478	0.685021	0.192052	0.578120	0.645685	0.041671	0.000109	0.000422	0.000167	0.000282	0.000400	0.000092	801.338817	1623.345902	1150.526411	2050.484619	1614.897696	453.336970	13312645.702691	4077.263671	1031.763927	1039.060831	1032.263927	1009.439169	16.351999	31.577615	1164557.730327	706.858347	1408.817450	826.620745	19191.753906	1647.512172	799.457972	3046	9.115586	9.551453	9.544276	9.558629	45.710190	0.996325	1880.407346	897.507555	1880.907346	1150.992445	16.347049	31.587891	5412063.987893	2498.785418	2165.877850	87043.750000	7656.504320	807.761246	9.203614	9.520852	9.326907	9.714796	59.821364	0.993220	1972.272646	1219.768132	1972.772646	828.731868	16.346522	31.563858	2144802.056276	1723.849839	1244.193089	34855.078125	3034.274215	801.908650	9.139177	9.537956	9.295442	9.780470	59.731702	0.989325	97.238402	1351.254455	97.738402	697.245545	16.357451	31.554609	7696306.413184	2920.946889	2634.866947	111508.531250	10888.046304	814.419875	9.017926	9.530732	9.528757	9.532707	45.170074	0.995128	187.967442	1965.058337	188.467442	83.441663	16.356934	31.508872	5223220.940854	2460.684000	2122.670339	78325.351562	7389.346059	811.681311	9.195009	9.614610	9.505037	9.724184	51.291832	0.989057	1396.393521	1495.986628	1396.893521	552.513372	16.349885	31.543475	532558.717668	1163.411562	457.756081	9127.987305	753.416466	798.424266	9.088847	9.524239	9.386961	9.661517	54.267518	0.991780	0.999481	0.001247
ogg2m001-ep03-20210522-0164-e91.fits	10	0	59357.959954	2459357.959954	2459357.964323	1.021373	41.799000	-55	NaN	83	16.352043	31.578751	NaN	NaN	1.993183	0.865382	8.985818	15	30	45	0.087473	0.684286	0.191536	0.578619	0.646839	0.041884	0.000109	0.000422	0.000167	0.000283	0.000401	0.000093	798.858027	1620.455650	1146.643630	2047.738331	1612.202938	452.764963	13288627.404619	4077.672260	1031.589358	1039.198000	1032.089358	1009.302000	16.351999	31.577617	1162394.227712	706.858347	1410.674877	823.998674	18024.519531	1644.451441	809.748252	3005	8.826742	9.623920	9.646234	9.601607	43.540486	0.991709	1880.276879	897.651179	1880.776879	1150.848821	16.347049	31.587892	5398857.505968	2496.602411	2162.481892	81804.867188	7637.820970	816.962181	9.019123	9.593100	9.425433	9.760767	55.295954	0.990128	1972.160410	1219.926449	1972.660410	828.573551	16.346522	31.563857	2136110.938306	1723.203611	1239.616100	32076.642578	3021.978798	811.298040	8.922928	9.605434	9.389304	9.821565	56.245651	0.986175	97.150332	1351.353541	97.650332	697.146459	16.357451	31.554612	7689057.850170	2921.032123	2632.308556	107821.726562	10877.791685	823.004983	9.001163	9.677941	9.735419	9.620464	40.868636	0.993169	187.871495	1965.235325	188.371495	83.264675	16.356934	31.508867	5219453.558411	2461.631353	2120.322993	72556.148438	7384.016303	820.180682	9.020988	9.760564	9.712707	9.808421	47.385152	0.986096	1396.243484	1496.172221	1396.743484	552.327779	16.349885	31.543471	534205.401934	1168.472447	457.182712	8647.009766	755.746048	807.638166	9.123966	9.638922	9.517338	9.760505	52.010423	0.989161	0.999427	0.001251
