Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD_TDB	AIRMASS	WMSHUMID	CCDATEMP	 CCD-TEMP	EXPTIME	RA	DEC	AIR	DQUALITY	FOCPOSN	MOONFRAC	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_T2	rel_flux_T3	rel_flux_T4	rel_flux_T5	rel_flux_C6	rel_flux_C7	rel_flux_C8	rel_flux_T9	rel_flux_err_T1	rel_flux_err_T2	rel_flux_err_T3	rel_flux_err_T4	rel_flux_err_T5	rel_flux_err_C6	rel_flux_err_C7	rel_flux_err_C8	rel_flux_err_T9	rel_flux_SNR_T1	rel_flux_SNR_T2	rel_flux_SNR_T3	rel_flux_SNR_T4	rel_flux_SNR_T5	rel_flux_SNR_C6	rel_flux_SNR_C7	rel_flux_SNR_C8	rel_flux_SNR_T9	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_T2	Y(IJ)_T2	X(FITS)_T2	Y(FITS)_T2	RA_T2	DEC_T2	Source-Sky_T2	Source_Error_T2	Source_SNR_T2	Peak_T2	Mean_T2	Sky/Pixel_T2	FWHM_T2	Width_T2	X-Width_T2	Y-Width_T2	Angle_T2	Roundness_T2	X(IJ)_T3	Y(IJ)_T3	X(FITS)_T3	Y(FITS)_T3	RA_T3	DEC_T3	Source-Sky_T3	Source_Error_T3	Source_SNR_T3	Peak_T3	Mean_T3	Sky/Pixel_T3	FWHM_T3	Width_T3	X-Width_T3	Y-Width_T3	Angle_T3	Roundness_T3	X(IJ)_T4	Y(IJ)_T4	X(FITS)_T4	Y(FITS)_T4	RA_T4	DEC_T4	Source-Sky_T4	Source_Error_T4	Source_SNR_T4	Peak_T4	Mean_T4	Sky/Pixel_T4	FWHM_T4	Width_T4	X-Width_T4	Y-Width_T4	Angle_T4	Roundness_T4	X(IJ)_T5	Y(IJ)_T5	X(FITS)_T5	Y(FITS)_T5	RA_T5	DEC_T5	Source-Sky_T5	Source_Error_T5	Source_SNR_T5	Peak_T5	Mean_T5	Sky/Pixel_T5	FWHM_T5	Width_T5	X-Width_T5	Y-Width_T5	Angle_T5	Roundness_T5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	RA_C7	DEC_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	X(IJ)_C8	Y(IJ)_C8	X(FITS)_C8	Y(FITS)_C8	RA_C8	DEC_C8	Source-Sky_C8	Source_Error_C8	Source_SNR_C8	Peak_C8	Mean_C8	Sky/Pixel_C8	FWHM_C8	Width_C8	X-Width_C8	Y-Width_C8	Angle_C8	Roundness_C8	X(IJ)_T9	Y(IJ)_T9	X(FITS)_T9	Y(FITS)_T9	RA_T9	DEC_T9	Source-Sky_T9	Source_Error_T9	Source_SNR_T9	Peak_T9	Mean_T9	Sky/Pixel_T9	FWHM_T9	Width_T9	X-Width_T9	Y-Width_T9	Angle_T9	Roundness_T9	rel_flux_T1_n	rel_flux_err_T1_n
ogg2m001-ep02-20210522-0156-e91.fits	1	0	59357.951300	2459357.951300	2459357.955669	1.018583	41.100000	-55	NaN	180	16.352160	31.579174	NaN	NaN	1.994286	0.864821	10.525547	15	30	45	0.264638	3.243565	1.591175	4.287319	3.068568	0.712480	0.294045	0.554531	0.292964	0.000444	0.002515	0.001331	0.003268	0.002389	0.001030	0.000556	0.000833	0.000460	595.540437	1289.818880	1195.085850	1311.948236	1284.559397	691.678961	528.824930	666.059229	636.771177	4728022.610687	3428.393138	1050.865944	1048.401548	1051.365944	1000.098452	16.352005	31.577358	1251216.276880	706.858347	1894.976493	660.280632	21150.582031	1770.108936	2538.456292	3021	9.257238	9.681095	9.660269	9.701921	47.139650	0.996676	1904.031755	906.032941	1904.531755	1142.467059	16.347053	31.587646	15335648.236041	4208.016704	3644.388632	123368.875000	21695.504198	2574.509706	11.676320	10.683712	10.506208	10.861216	60.584255	0.995880	1996.770112	1228.136669	1997.270112	820.363331	16.346523	31.563741	7523111.265188	3141.431426	2394.803593	94677.515625	10643.025291	2549.910696	10.630228	10.332799	10.137984	10.527613	58.318060	0.992931	111.525820	1361.813828	112.025820	686.686172	16.357458	31.554370	20270543.138001	4761.867515	4256.847355	124674.976562	28676.952352	2602.055734	13.245591	11.748735	9.653440	13.844029	85.968752	0.878101	203.487695	1975.511082	203.987695	72.988918	16.356936	31.508863	14508259.672336	4109.312184	3530.581037	124390.343750	20524.988822	2591.161947	11.262970	10.357509	9.710429	11.004590	71.893907	0.976203	1418.022035	1504.981914	1418.522035	543.518086	16.349886	31.543409	1967101.424518	2075.730707	947.666968	28839.519531	2782.879247	2541.905543	9.928116	10.009955	9.961526	10.058384	48.472101	0.993595	1703.673488	180.389965	1704.173488	1868.110035	16.348196	31.641494	1074345.399883	1845.387673	582.178702	16917.693359	1519.887831	2542.822285	10.086388	10.160013	10.028170	10.291856	67.223989	0.998627	306.921587	97.777528	307.421587	1950.722472	16.356302	31.648011	1686575.786285	2009.916882	839.127131	32893.863281	2386.016651	2547.757097	8.117325	9.210728	9.076099	9.345358	86.875515	0.999136	1795.949313	1673.922432	1796.449313	374.577568	16.347699	31.530768	1385140.785574	1929.489680	717.879344	19805.835938	1959.573359	2535.738953	10.525749	10.284771	10.162227	10.407314	52.654430	0.991856	0.999484	0.001678
ogg2m001-ep02-20210522-0157-e91.fits	2	0	59357.953433	2459357.953433	2459357.957802	1.019044	42.000000	-55	NaN	180	16.352158	31.579171	NaN	NaN	1.988306	0.864947	10.463708	15	30	45	0.265044	3.216995	1.593830	4.279945	3.076975	0.714192	0.292891	0.554789	0.293927	0.000445	0.002502	0.001337	0.003271	0.002401	0.001035	0.000557	0.000834	0.000462	595.108263	1285.883569	1192.529599	1308.567349	1281.715411	689.993866	525.478099	664.830144	636.387639	4721559.746970	3432.895509	1050.465020	1048.367916	1050.965020	1000.132084	16.352005	31.577357	1251420.659770	706.858347	1895.810859	660.097844	23082.859375	1770.398079	2541.848755	2970	9.323227	9.620565	9.659855	9.581276	38.593059	0.998644	1903.637974	905.987388	1904.137974	1142.512612	16.347053	31.587646	15189232.196538	4191.539347	3623.783756	123374.234375	21488.367874	2577.991746	11.690140	10.614485	10.501931	10.727039	59.421562	0.998068	1996.347020	1228.068332	1996.847020	820.431668	16.346523	31.563742	7525361.894390	3143.981673	2393.576896	107996.031250	10646.209280	2557.110435	10.417531	10.204949	10.084532	10.325366	57.330488	0.996802	111.206057	1361.739671	111.706057	686.760329	16.357458	31.554372	20208016.687780	4754.909594	4249.926584	124553.453125	28588.495519	2607.858659	13.270484	11.634422	9.718466	13.550379	86.398301	0.895532	203.127099	1975.448913	203.627099	73.051087	16.356936	31.508863	14528122.106020	4111.506540	3533.527666	124394.046875	20553.088418	2591.712144	11.366308	10.307613	9.750506	10.864721	72.697608	0.982853	1417.650586	1504.950735	1418.150586	543.549265	16.349886	31.543407	1967165.489443	2078.749981	946.321350	32521.748047	2782.969880	2544.384706	9.799997	9.887558	9.875512	9.899604	46.227727	0.996766	1703.256318	180.355159	1703.756318	1868.144841	16.348196	31.641495	1069619.624979	1851.026154	577.852248	18211.505859	1513.202227	2547.227653	9.875529	9.971907	9.952569	9.991246	55.392810	0.999881	306.557433	97.756966	307.057433	1950.743034	16.356302	31.648012	1684774.632547	2009.296461	838.489822	36187.207031	2383.468540	2551.243913	8.011933	9.076751	9.100930	9.052573	324.489467	0.999732	1795.555627	1673.870504	1796.055627	374.629496	16.347699	31.530767	1387796.174233	1933.262062	717.852071	21661.621094	1963.329966	2540.657875	10.418226	10.226830	10.106389	10.347272	53.763362	0.993884	1.001016	0.001682
ogg2m001-ep02-20210522-0158-e91.fits	3	0	59357.955566	2459357.955566	2459357.959935	1.019655	41.700000	-55	NaN	180	16.352157	31.579171	NaN	NaN	1.990253	0.865074	10.311172	15	30	45	0.264882	3.222216	1.591822	4.298231	3.090305	0.714563	0.290851	0.557442	0.292483	0.000446	0.002507	0.001336	0.003286	0.002412	0.001036	0.000556	0.000838	0.000461	594.228098	1285.473891	1191.918263	1308.195228	1281.454743	689.747369	523.304839	664.977966	634.371725	4721524.798026	3434.743069	1050.388854	1048.399791	1050.888854	1000.100209	16.352005	31.577355	1250648.077134	706.858347	1897.854843	658.979838	21871.814453	1769.305098	2547.032199	3027	9.149106	9.766141	9.831763	9.700519	29.192031	0.999343	1903.591836	906.029780	1904.091836	1142.470220	16.347053	31.587645	15213774.672968	4193.031171	3628.347621	123375.648438	21523.088376	2586.825232	11.552968	10.742158	10.590335	10.893982	68.557121	0.998512	1996.286088	1228.097187	1996.786088	820.402813	16.346523	31.563743	7515825.308281	3141.296974	2392.586684	100525.914062	10632.717771	2561.933989	10.177465	10.310877	10.172170	10.449584	61.781710	0.997633	111.117712	1361.768775	111.617712	686.731225	16.357458	31.554368	20294204.370632	4764.624756	4259.349982	124555.335938	28710.426148	2614.032800	13.223328	11.681159	9.919820	13.442498	86.530089	0.911766	203.052456	1975.500915	203.552456	72.999085	16.356936	31.508858	14590952.175715	4120.789326	3540.814883	124396.367188	20641.974784	2599.302882	11.308839	10.426481	9.918431	10.934531	72.616080	0.985993	1417.584228	1504.984653	1418.084228	543.515347	16.349886	31.543406	1967747.186021	2078.840978	946.559745	29748.794922	2783.792813	2552.603501	9.663716	9.983678	9.961431	10.005924	47.827425	0.997954	1703.168994	180.430413	1703.668994	1868.069587	16.348197	31.641490	1063841.914634	1850.539455	574.882050	17745.101562	1505.028439	2558.021202	9.656920	10.029985	10.013593	10.046377	76.893676	0.999987	306.491077	97.798172	306.991077	1950.701828	16.356302	31.648006	1689935.697371	2012.804975	839.592369	35452.402344	2390.769953	2557.896023	7.797316	9.301580	9.246549	9.356612	300.065356	0.999436	1795.475738	1673.898848	1795.975738	374.601152	16.347699	31.530768	1380965.166295	1931.236561	715.067845	20464.703125	1953.666066	2549.270549	10.270893	10.277756	10.140291	10.415222	59.806812	0.997071	1.000405	0.001684
ogg2m001-ep02-20210522-0159-e91.fits	4	0	59357.957699	2459357.957699	2459357.962068	1.020415	41.100000	-55	NaN	180	16.352156	31.579177	NaN	NaN	1.990633	0.865212	10.374327	15	30	45	0.264919	3.210476	1.593181	4.295390	3.096514	0.713961	0.292770	0.555154	0.293140	0.000447	0.002501	0.001338	0.003287	0.002418	0.001036	0.000558	0.000836	0.000462	592.711447	1283.916364	1190.897047	1306.932132	1280.429290	688.885637	524.643292	663.768076	633.867586	4726050.923598	3441.661422	1050.247711	1048.479102	1050.747711	1000.020898	16.352005	31.577356	1252021.379102	706.858347	1905.456632	657.071569	21028.699219	1771.247923	2576.119566	3027	9.181474	9.693741	9.694685	9.692796	44.887213	0.997551	1903.418490	906.056383	1903.918490	1142.443617	16.347052	31.587647	15172875.404572	4191.446927	3619.961237	123376.500000	21465.227747	2611.241446	11.543709	10.666587	10.487399	10.845774	61.254988	0.996094	1996.132348	1228.146763	1996.632348	820.353237	16.346523	31.563743	7529453.394128	3147.811889	2391.964215	97013.773438	10651.997568	2590.233451	10.274086	10.236851	10.070507	10.403194	57.761516	0.994314	110.928977	1361.834374	111.428977	686.665626	16.357458	31.554372	20300233.068939	4766.611235	4258.839681	124554.890625	28718.955012	2637.964481	13.210940	11.658655	9.820894	13.496417	85.714648	0.903222	202.845368	1975.533724	203.345368	72.966276	16.356937	31.508863	14634284.195317	4129.372558	3543.948624	124396.046875	20703.277052	2626.699390	11.459963	10.369965	9.826214	10.913716	71.525397	0.982874	1417.402154	1505.056230	1417.902154	543.443770	16.349886	31.543406	1968665.110465	2083.823859	944.736813	28543.751953	2785.091410	2583.451581	9.754763	9.958244	9.900646	10.015842	49.669289	0.994918	1703.035529	180.477361	1703.535529	1868.022639	16.348196	31.641492	1070294.494238	1855.119627	576.940958	17010.945312	1514.156972	2582.597645	9.733747	9.976045	9.914332	10.037758	57.203613	0.999104	306.278610	97.903446	306.778610	1950.596554	16.356302	31.648008	1687091.318895	2015.252501	837.161258	32138.662109	2386.745981	2587.183087	7.892944	9.167853	9.102967	9.232738	275.251355	0.999793	1795.328247	1673.943234	1795.828247	374.556766	16.347699	31.530768	1385392.698388	1938.833296	714.549674	20067.240234	1959.929743	2577.911127	10.317322	10.247551	10.070083	10.425019	56.064046	0.991550	1.000544	0.001688
ogg2m001-ep02-20210522-0160-e91.fits	5	0	59357.959832	2459357.959832	2459357.964201	1.021327	41.600000	-55	NaN	180	16.352156	31.579174	NaN	NaN	1.993183	0.865339	9.955232	15	30	45	0.265652	3.145176	1.592727	4.276197	3.061894	0.715949	0.293296	0.552762	0.293223	0.000447	0.002455	0.001338	0.003275	0.002395	0.001040	0.000559	0.000834	0.000463	594.102143	1281.156628	1190.133152	1305.776153	1278.514478	688.654431	524.523058	662.656415	633.847179	4725881.817804	3443.958347	1050.241241	1048.393928	1050.741241	1000.106072	16.352005	31.577359	1255440.891293	706.858347	1904.854087	659.074572	22010.390625	1776.085543	2581.891893	3038	8.578913	9.577191	9.624405	9.529978	42.011269	0.991036	1903.428024	906.004735	1903.928024	1142.495265	16.347052	31.587646	14863730.455893	4156.056672	3576.402255	123376.140625	21027.877110	2615.379658	11.376369	10.634024	10.419360	10.848689	58.270365	0.991843	1996.158057	1228.116911	1996.658057	820.383089	16.346523	31.563740	7527040.173757	3148.237056	2390.874651	100347.390625	10648.583560	2595.747988	9.799471	10.086428	9.954822	10.218035	52.187172	0.988954	110.942931	1361.813016	111.442931	686.686984	16.357458	31.554372	20208801.015738	4757.646132	4247.646936	124556.078125	28589.605117	2642.174599	12.984797	11.796592	9.694977	13.898206	85.283755	0.877443	202.857678	1975.457528	203.357678	73.042472	16.356937	31.508867	14470151.232773	4110.715504	3520.105252	124397.984375	20471.076409	2629.934034	11.413845	10.388620	9.733103	11.044137	71.230704	0.974871	1417.441546	1504.981507	1417.941546	543.518493	16.349886	31.543407	1971789.000172	2084.811590	945.787624	29461.388672	2789.510810	2583.923329	9.236680	9.784419	9.753428	9.815410	46.760759	0.989364	1703.012274	180.404048	1703.512274	1868.095952	16.348196	31.641494	1071744.473723	1857.843495	576.875542	17808.541016	1516.208273	2583.603010	9.224935	9.845268	9.781389	9.909147	51.618797	0.996789	306.322620	97.846139	306.822620	1950.653861	16.356301	31.648011	1682348.343909	2015.645623	834.644902	34991.011719	2380.036044	2589.778357	7.174187	8.972252	8.942156	9.002348	55.748730	0.999665	1795.355531	1673.874611	1795.855531	374.625389	16.347699	31.530768	1385739.476429	1939.028541	714.656565	20716.576172	1960.420333	2580.249420	9.807891	10.088133	9.941759	10.234507	52.017314	0.985687	1.003313	0.001689
ogg2m001-ep02-20210522-0161-e91.fits	6	0	59357.961965	2459357.961965	2459357.966334	1.022391	42.299000	-55	NaN	180	16.352157	31.579165	NaN	NaN	1.997990	0.865468	10.052401	15	30	45	0.265514	3.185386	1.593339	4.317399	3.095522	0.713777	0.291244	0.557520	0.293342	0.000448	0.002486	0.001340	0.003307	0.002421	0.001038	0.000557	0.000840	0.000463	593.292596	1281.327443	1188.973431	1305.400026	1278.657826	687.877609	522.458435	663.321722	634.059479	4718364.997190	3441.199849	1050.388695	1048.309564	1050.888695	1000.190436	16.352004	31.577356	1252790.620578	706.858347	1903.678020	658.089555	20054.650391	1772.336177	2563.812967	3050	8.648241	9.799355	9.768122	9.830587	48.542953	0.997330	1903.531913	905.881949	1904.031913	1142.618051	16.347052	31.587645	15029813.311762	4175.457813	3599.560571	123376.617188	21262.836287	2604.492424	11.346712	10.761287	10.573204	10.949369	59.230160	0.994623	1996.252703	1227.989675	1996.752703	820.510325	16.346523	31.563740	7517953.675997	3149.264560	2387.209309	88815.835938	10635.728795	2581.841047	10.035140	10.292421	10.118886	10.465957	56.175860	0.992142	110.987696	1361.726658	111.487696	686.773342	16.357458	31.554371	20371063.396722	4774.065197	4267.026644	124556.039062	28819.159428	2631.587729	13.120251	11.831065	9.876777	13.785352	86.211663	0.894750	202.902000	1975.423378	203.402000	73.076622	16.356937	31.508865	14605800.412118	4124.046190	3541.619017	124397.757812	20662.980741	2618.335917	11.454086	10.500841	9.876200	11.125483	74.452784	0.980834	1417.555475	1504.890619	1418.055475	543.609381	16.349886	31.543406	1965168.947456	2083.075173	943.397998	26807.021484	2780.145351	2572.124257	9.278729	9.961065	9.882424	10.039707	50.770414	0.993772	1703.145012	180.329265	1703.645012	1868.170735	16.348196	31.641486	1064240.258489	1853.733956	574.106254	16753.394531	1505.591980	2574.891430	9.396875	9.938273	9.933586	9.942961	45.605608	0.998009	306.402201	97.729295	306.902201	1950.770705	16.356301	31.648006	1688955.791245	2016.512990	837.562564	33444.101562	2389.383670	2573.673017	7.170990	9.237801	9.212510	9.263093	298.724407	0.999896	1795.454085	1673.785384	1795.954085	374.714616	16.347699	31.530768	1384094.229535	1935.486170	715.114503	18217.080078	1958.092785	2568.400455	10.020582	10.278709	10.084000	10.473418	55.227477	0.988256	1.002790	0.001690
ogg2m001-ep02-20210522-0162-e91.fits	7	0	59357.964099	2459357.964099	2459357.968467	1.023606	42.700000	-55	NaN	180	16.352156	31.579188	NaN	NaN	1.999614	0.865597	10.309152	15	30	45	0.264289	3.238613	1.591153	4.319365	3.131570	0.714070	0.292693	0.555174	0.293432	0.000447	0.002525	0.001339	0.003310	0.002448	0.001038	0.000559	0.000838	0.000463	591.258627	1282.582795	1188.579690	1305.137045	1279.309525	687.667201	523.816126	662.712598	633.678970	4713601.816271	3438.354532	1050.256844	1048.630600	1050.756844	999.869400	16.352005	31.577356	1245755.294538	706.858347	1900.917032	655.344380	18591.787109	1762.383227	2564.044938	3044	9.120420	9.993014	9.867595	10.118434	54.729449	0.994324	1903.450833	906.218811	1903.950833	1142.281189	16.347052	31.587646	15265529.780408	4202.683123	3632.329475	123376.585938	21596.306875	2603.811643	11.412130	10.947389	10.674727	11.220052	62.185454	0.992224	1996.129864	1228.309104	1996.629864	820.190896	16.346523	31.563741	7500063.832483	3144.224392	2385.346240	84574.984375	10610.419844	2580.989675	10.324464	10.572582	10.279272	10.865892	61.012757	0.989069	110.959217	1361.997837	111.459217	686.502163	16.357458	31.554371	20359766.689621	4773.241019	4265.396741	124555.773438	28803.177856	2626.881415	13.552075	11.851368	10.125155	13.577581	84.340902	0.915368	202.910799	1975.721063	203.410799	72.778937	16.356936	31.508861	14760972.457853	4146.435899	3559.918161	124397.062500	20882.504280	2614.252743	11.324354	10.656505	10.094113	11.218897	70.729597	0.981891	1417.426537	1505.194553	1417.926537	543.305447	16.349886	31.543407	1963655.224104	2082.713410	942.835061	25653.410156	2778.003871	2569.692067	9.625669	10.264933	10.077718	10.452148	55.781967	0.990157	1703.046332	180.643207	1703.546332	1867.856793	16.348196	31.641491	1067260.414617	1852.713048	576.052733	15165.651367	1509.864627	2569.635453	9.692401	10.268807	10.128682	10.408932	59.212914	0.996714	306.344611	98.077448	306.844611	1950.422552	16.356301	31.648006	1682686.177549	2012.968232	835.922868	30036.814453	2380.513981	2573.966665	7.548767	9.452677	9.352124	9.553231	73.061193	0.999343	1795.331035	1674.089339	1795.831035	374.410661	16.347699	31.530768	1383122.902339	1935.508944	714.604242	17903.492188	1956.718638	2568.611136	10.182086	10.515487	10.223507	10.807468	58.563000	0.985188	0.998166	0.001688
ogg2m001-ep02-20210522-0163-e91.fits	8	0	59357.966232	2459357.966232	2459357.970601	1.024973	43.200000	-55	NaN	180	16.352156	31.579176	NaN	NaN	1.988698	0.865737	9.837520	15	30	45	0.264566	3.100560	1.593024	4.255826	3.045763	0.714792	0.292945	0.554217	0.293557	0.000445	0.002416	0.001335	0.003250	0.002376	0.001035	0.000557	0.000833	0.000462	593.949028	1283.590685	1193.490824	1309.332481	1281.842578	690.612683	526.403072	664.937376	635.296268	4737474.576693	3441.652842	1050.233476	1048.463954	1050.733476	1000.036046	16.352005	31.577355	1253374.803537	706.858347	1903.685999	658.393666	22121.158203	1773.162627	2569.804336	2956	8.347697	9.361816	9.359159	9.364473	45.247220	0.995673	1903.398691	906.053970	1903.898691	1142.446030	16.347053	31.587645	14688823.642457	4133.197864	3553.864133	123376.015625	20780.434586	2600.238862	11.485297	10.499767	10.190053	10.809480	63.590759	0.990487	1996.109403	1228.168880	1996.609403	820.331120	16.346523	31.563740	7546908.670296	3150.554257	2395.422537	98438.539062	10676.691733	2583.764710	9.669183	9.863810	9.647593	10.080027	56.645029	0.987717	110.865004	1361.873564	111.365004	686.626436	16.357458	31.554369	20161868.986989	4751.799438	4242.996627	124555.179688	28523.209878	2630.330296	13.012557	11.814918	9.487042	14.142794	85.832749	0.853019	202.794664	1975.532402	203.294664	72.967598	16.356937	31.508866	14429226.235639	4102.405161	3517.260160	124396.789062	20413.179381	2614.472117	11.364925	10.319275	9.494013	11.144537	76.509236	0.968194	1417.420516	1505.039873	1417.920516	543.460127	16.349886	31.543407	1974764.232851	2084.191034	947.496751	30285.625000	2793.719903	2573.491023	9.099824	9.572702	9.441549	9.703855	53.010558	0.990146	1702.997611	180.486321	1703.497611	1868.013679	16.348197	31.641486	1073377.185702	1853.707768	579.043366	17962.542969	1518.518088	2576.158268	8.985721	9.585679	9.579750	9.591608	45.621884	0.996752	306.290283	97.889199	306.790283	1950.610801	16.356301	31.648003	1689333.158141	2016.157120	837.897573	36687.285156	2389.917535	2579.549413	6.929489	8.792501	8.763703	8.821299	61.650150	0.999858	1795.323458	1673.941763	1795.823458	374.558237	16.347699	31.530769	1390719.672380	1941.998341	716.128146	20583.257812	1967.465869	2573.530214	9.642984	9.866147	9.657011	10.075282	55.538336	0.986115	0.999211	0.001682
ogg2m001-ep02-20210522-0164-e91.fits	9	0	59357.968365	2459357.968365	2459357.972734	1.026492	43.100000	-55	NaN	180	16.352154	31.579220	NaN	NaN	1.993867	0.865867	9.559009	15	30	45	0.264471	3.085846	1.593014	4.220043	3.036824	0.713765	0.292515	0.555685	0.294385	0.000445	0.002406	0.001335	0.003226	0.002371	0.001034	0.000556	0.000836	0.000462	594.325352	1282.561163	1192.943181	1308.199744	1281.051171	690.255837	525.639261	665.041965	637.621984	4734800.127584	3441.253893	1049.869356	1049.012294	1050.369356	999.487706	16.352005	31.577359	1252217.155066	706.858347	1900.252277	658.974164	24683.199219	1771.524889	2565.311472	3078	7.955486	9.126530	9.170304	9.082756	40.813652	0.995660	1903.039013	906.591046	1903.539013	1141.908954	16.347053	31.587652	14610862.331111	4124.244571	3542.676017	123375.109375	20670.141892	2601.032448	11.524389	10.406911	10.142093	10.671729	62.981888	0.992500	1995.742631	1228.746930	1996.242631	819.753070	16.346523	31.563743	7542604.427024	3150.300177	2394.249437	108960.117188	10670.602474	2581.518640	9.267787	9.703879	9.602228	9.805529	51.391031	0.991035	110.540993	1362.353672	111.040993	686.146328	16.357459	31.554374	19981059.626700	4731.881201	4222.646085	124554.976562	28267.416958	2626.667550	12.741541	11.793344	9.259980	14.326709	85.638911	0.827376	202.504408	1976.014730	203.004408	72.485270	16.356936	31.508868	14378753.975693	4095.086434	3511.221120	124395.773438	20341.775740	2614.125996	11.502376	10.231068	9.265420	11.196715	78.750909	0.958988	1417.047208	1505.626563	1417.547208	542.873437	16.349886	31.543407	1971993.766380	2083.172241	946.630205	33779.421875	2789.800495	2572.813171	8.705637	9.354271	9.321868	9.386675	47.086459	0.990935	1702.654343	181.048529	1703.154343	1867.451471	16.348197	31.641495	1071553.538197	1853.792098	578.033286	19463.486328	1515.938155	2575.321347	8.616422	9.397554	9.385947	9.409161	46.460327	0.997650	305.915147	98.450191	306.415147	1950.049809	16.356302	31.648009	1691252.823007	2016.451494	838.727253	40211.734375	2392.633305	2573.202525	6.509084	8.590331	8.626239	8.554423	32.874089	0.999586	1794.930798	1674.536262	1795.430798	373.963738	16.347699	31.530768	1393852.063844	1937.109433	719.552566	22076.691406	1971.897297	2569.057596	9.208357	9.722928	9.615459	9.830396	50.729993	0.987624	0.998852	0.001681
ogg2m001-ep02-20210522-0165-e91.fits	10	0	59357.970499	2459357.970499	2459357.974868	1.028174	43.200000	-55	NaN	180	16.352154	31.579167	NaN	NaN	1.995682	0.865998	9.592790	15	30	45	0.265280	3.078741	1.591863	4.241530	3.021608	0.713878	0.291668	0.556820	0.293898	0.000446	0.002402	0.001335	0.003243	0.002361	0.001035	0.000557	0.000837	0.000462	595.313596	1281.943532	1192.608333	1308.064704	1280.011134	690.004562	523.753693	665.535869	636.603273	4737438.364258	3444.635041	1049.739426	1048.314515	1050.239426	1000.185485	16.352005	31.577358	1256745.906366	706.858347	1903.045450	660.386701	23812.882812	1777.931762	2573.647673	3062	7.870829	9.224982	9.175644	9.274320	50.012200	0.996224	1902.920104	905.914248	1903.420104	1142.585752	16.347053	31.587651	14585347.151061	4120.573107	3539.640427	123374.585938	20634.045296	2607.751615	11.526869	10.458911	10.114808	10.803014	66.130284	0.990447	1995.629529	1228.038807	1996.129529	820.461193	16.346523	31.563744	7541352.584658	3149.284727	2394.623935	102464.703125	10668.831480	2587.216806	9.434294	9.764331	9.580578	9.948083	55.936040	0.989800	110.419021	1361.598093	110.919021	686.901907	16.357459	31.554375	20093985.127833	4744.665025	4235.069288	124554.421875	28427.173862	2632.029932	12.893353	11.889309	9.304806	14.473812	86.537811	0.825114	202.330687	1975.347648	202.830687	73.152352	16.356937	31.508863	14314679.535728	4090.421833	3499.560710	124395.335938	20251.128950	2621.319794	11.442219	10.285917	9.346177	11.225657	79.399283	0.962222	1416.917121	1504.921629	1417.417121	543.578371	16.349886	31.543407	1973275.198551	2084.877925	946.470378	31873.851562	2791.613350	2577.464344	8.614978	9.446297	9.353049	9.539546	50.656027	0.989871	1702.509900	180.381319	1703.009900	1868.118681	16.348197	31.641493	1069747.988183	1859.108310	575.409180	18842.949219	1513.383824	2580.974519	8.638139	9.425260	9.388713	9.461807	48.695777	0.996366	305.775450	97.733745	306.275450	1950.766255	16.356302	31.648008	1694415.177525	2015.567140	840.664220	39491.207031	2397.107121	2579.056985	6.519619	8.646824	8.641872	8.651776	294.046649	0.999997	1794.813844	1673.826508	1795.313844	374.673492	16.347699	31.530769	1392321.985933	1938.700855	718.172678	21191.943359	1969.732679	2575.260182	9.394814	9.794482	9.593156	9.995808	55.093816	0.985821	1.001906	0.001683
