 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	JD_MOBS	HJD_MOBS	BJD_MOBS	ALT_OBJ	AIRMASS	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	Variance_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	Variance_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	Variance_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	Variance_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	Variance_C5	BJD_TDB
1	ogg2m001-ep04-20210522-0155-e91.fits.fz	1.000000	0.000000	59357.951300	2459357.951300	NaN	NaN	NaN	NaN	NaN	1.018583	8.873199	10.000000	60.000000	90.000000	0.261306	0.335919	0.208468	0.363751	0.447836	0.000940	0.001285	0.001006	0.001345	0.001543	277.968880	261.449860	207.153646	270.483149	290.256065	1379136.184917	2280.398270	1049.619517	1042.183190	1050.119517	1006.316810	16.352007	31.577273	360376.185353	314.159265	1151.407958	312.987402	8565.589844	1147.113025	2994.650326	12018.000000	8.790575	8.761063	8.858555	8.663571	35.685945	0.995147	1519128.208333	1903.922180	988.476118	1904.422180	1060.023882	16.347059	31.581281	346786.217318	1149.637193	301.648398	8707.775391	1103.854814	3019.230779	8.269759	8.484549	8.450852	8.518245	49.341126	0.997231	1573841.257281	2040.850244	1021.768253	2041.350244	1026.731747	16.346266	31.578817	237909.315927	1068.943735	222.564863	7039.564941	829.744407	3017.883491	8.369466	11.173968	9.629536	12.718399	87.457828	0.925840	1762019.748505	1280.681983	1818.021834	1281.181983	230.478166	16.350666	31.519854	367854.534314	1156.991735	317.940503	8070.531250	1170.917349	3010.776759	9.395803	8.884770	8.916626	8.852913	43.138412	0.987805	1481499.484473	301.773843	1341.791238	302.273843	706.708762	16.356337	31.555031	426586.117357	1182.065992	360.881812	8543.563477	1357.865785	3011.018697	9.540393	9.036375	9.167124	8.905627	35.127594	0.992666	1868896.098748	2459357.955651
2	ogg2m001-ep04-20210522-0156-e91.fits.fz	2.000000	0.000000	59357.953431	2459357.953431	NaN	NaN	NaN	NaN	NaN	1.019043	10.529370	10.000000	60.000000	90.000000	0.262533	0.334688	0.207603	0.364515	0.449668	0.000940	0.001281	0.001006	0.001345	0.001545	279.271108	261.366013	206.263724	271.093403	290.955564	1380879.286173	2281.438897	1049.115452	1042.098145	1049.615452	1006.401855	16.352008	31.577273	362526.026153	314.159265	1151.676461	314.781137	9054.150391	1153.956181	2990.630923	12220.000000	8.791947	8.708462	8.875374	8.541550	21.290993	0.997292	1604296.209369	1903.433607	988.356452	1903.933607	1060.143548	16.347059	31.581284	346270.642506	1148.936621	301.383589	9288.957031	1102.213688	3016.497374	8.095449	8.359831	8.379045	8.340617	42.442234	0.997342	1693339.350580	2040.627887	1021.672949	2041.127887	1026.827051	16.346264	31.578819	237391.272591	1072.298944	221.385346	7664.087402	819.201948	3013.849015	7.985824	11.195358	9.806608	12.584108	271.214704	0.940193	1631778.325261	1280.283175	1817.845580	1280.783175	230.654420	16.350666	31.519860	368886.554144	1156.617003	318.935787	8607.402344	1174.202371	3005.704196	9.325576	8.837593	8.882381	8.792806	41.019407	0.994645	1538229.856863	301.382612	1341.637586	301.882612	706.862414	16.356337	31.555035	428330.816932	1182.082978	362.352580	9164.570312	1363.419336	3006.997489	9.574855	9.017818	9.257016	8.778621	24.213203	0.993618	1914406.388425	2459357.957782
3	ogg2m001-ep04-20210522-0157-e91.fits.fz	3.000000	0.000000	59357.955563	2459357.955563	NaN	NaN	NaN	NaN	NaN	1.019654	10.555926	10.000000	60.000000	90.000000	0.263180	0.332823	0.209502	0.364825	0.448790	0.000946	0.001283	0.001018	0.001353	0.001552	278.232511	259.311129	205.838508	269.706685	289.193939	1371999.294168	2280.105393	1049.027326	1042.102152	1049.527326	1006.397848	16.352008	31.577270	361083.064684	314.159265	1150.706032	313.792623	8703.741211	1149.363092	2987.945816	12051.000000	8.472598	8.759836	8.887823	8.631848	22.752465	0.998262	1531316.293736	1903.296936	988.387151	1903.796936	1060.112849	16.347060	31.581281	342605.562725	1146.923790	298.716938	9224.916992	1090.547377	3014.666870	7.669653	8.471800	8.470391	8.473209	45.295830	0.998962	1595864.450131	2040.487211	1021.696003	2040.987211	1026.803997	16.346265	31.578817	237648.483008	1074.937579	221.081194	7409.519043	814.805948	3011.265788	7.778436	11.320948	10.159350	12.482545	89.911550	0.958761	1538415.333974	1280.160380	1817.826068	1280.660380	230.673932	16.350666	31.519860	366742.788359	1155.292115	317.445937	8344.203125	1167.378552	3003.707686	8.988501	8.874800	8.917308	8.832292	40.919764	0.995446	1478011.768128	301.286177	1341.682106	301.786177	706.817894	16.356337	31.555028	425002.460076	1180.362552	360.060949	8801.906250	1352.824847	3003.657477	9.341070	9.081277	9.302126	8.860429	13.900976	0.996980	1832089.329827	2459357.959914
4	ogg2m001-ep04-20210522-0158-e91.fits.fz	4.000000	0.000000	59357.957695	2459357.957695	NaN	NaN	NaN	NaN	NaN	1.020414	10.692321	10.000000	60.000000	90.000000	0.261246	0.332134	0.211022	0.364764	0.447495	0.000940	0.001277	0.001020	0.001348	0.001544	277.807507	259.988995	206.920107	270.612841	289.884318	1380609.410092	2287.741424	1048.826607	1042.216894	1049.326607	1006.283106	16.352008	31.577263	360679.010832	314.159265	1152.560226	312.937235	8426.852539	1148.076949	3002.205472	11976.000000	8.573561	8.742963	8.851400	8.634526	30.685542	0.997321	1531490.861780	1903.120700	988.449431	1903.620700	1060.050569	16.347059	31.581276	344219.908152	1149.490469	299.454339	8676.858398	1095.685998	3026.191909	7.969632	8.442681	8.343215	8.542147	57.467208	0.996877	1586697.128593	2040.301366	1021.756927	2040.801366	1026.743073	16.346265	31.578812	240572.879677	1082.034546	222.333825	7087.234863	818.064467	3022.916252	7.843840	11.556360	10.456115	12.656606	88.894658	0.964338	1490366.258017	1279.947948	1817.907017	1280.447948	230.592983	16.350666	31.519855	368999.261215	1158.203166	318.596316	8231.316406	1174.561128	3017.771784	9.093560	8.898864	8.935073	8.862655	42.191828	0.993086	1464133.924330	301.051585	1341.755254	301.551585	706.744746	16.356337	31.555026	426817.361048	1183.300112	360.700854	8537.568359	1358.601856	3019.086863	9.425086	9.048620	9.213919	8.883321	29.810405	0.994784	1823763.093090	2459357.962045
5	ogg2m001-ep04-20210522-0159-e91.fits.fz	5.000000	0.000000	59357.959828	2459357.959828	NaN	NaN	NaN	NaN	NaN	1.021326	10.148439	10.000000	60.000000	90.000000	0.262017	0.332728	0.210069	0.367195	0.445430	0.000938	0.001274	0.001014	0.001349	0.001533	279.320466	261.070073	207.073835	272.210983	290.499529	1382506.707315	2283.100554	1048.803012	1042.118307	1049.303012	1006.381693	16.352008	31.577265	362240.160917	314.159265	1150.649917	314.813529	8693.480469	1153.046244	2982.825986	12020.000000	8.036644	8.560254	8.670061	8.450447	36.805567	0.991735	1730531.933713	1903.083878	988.376434	1903.583878	1060.123566	16.347059	31.581276	345155.765055	1147.424819	300.809046	9351.075195	1098.664923	3008.677289	7.195705	8.332855	8.289863	8.375847	48.117343	0.990973	1763427.112171	2040.290887	1021.729335	2040.790887	1026.770665	16.346264	31.578808	240004.400627	1079.221723	222.386555	7546.175293	815.760700	3004.355442	7.342138	11.483547	10.400952	12.566143	86.141067	0.964432	1572038.952797	1279.957353	1817.827024	1280.457353	230.672976	16.350666	31.519855	371307.339214	1156.818494	320.972859	8597.634766	1181.907969	2999.183543	8.625242	8.769313	8.746077	8.792549	46.251239	0.985269	1640814.351452	301.062003	1341.672525	301.562003	706.827475	16.356337	31.555027	426039.202419	1180.260932	360.970350	8863.573242	1356.124900	2999.500541	8.850143	8.899030	9.131023	8.667038	30.626470	0.988263	2021484.798772	2459357.964179
6	ogg2m001-ep04-20210522-0160-e91.fits.fz	6.000000	0.000000	59357.961962	2459357.961962	NaN	NaN	NaN	NaN	NaN	1.022389	10.156827	10.000000	60.000000	90.000000	0.261832	0.331292	0.210373	0.367190	0.446695	0.000942	0.001277	0.001019	0.001355	0.001543	277.920312	259.344254	206.506253	270.952456	289.411592	1372521.427836	2276.746367	1048.947752	1042.009056	1049.447752	1006.490944	16.352007	31.577261	359370.636600	314.159265	1147.460580	313.187784	8346.895508	1143.912264	2970.104817	12040.000000	8.050807	8.756340	8.860872	8.651807	33.325154	0.996372	1549555.606679	1903.192725	988.242017	1903.692725	1060.257983	16.347059	31.581272	341551.793323	1144.209325	298.504641	8653.179688	1087.193125	2996.166816	7.467053	8.491722	8.421748	8.561696	52.184971	0.995591	1587421.984893	2040.373196	1021.627369	2040.873196	1026.872631	16.346264	31.578801	238555.428552	1075.287991	221.852593	7115.124023	813.758328	2992.891984	7.409308	11.481631	10.393680	12.569582	86.432504	0.964169	1483237.481118	1280.051349	1817.793365	1280.551349	230.706635	16.350666	31.519849	368621.822416	1153.906808	319.455453	7917.387695	1173.359703	2986.802447	8.774230	8.930455	8.900868	8.960043	46.982606	0.990818	1470739.299421	301.119817	1341.656980	301.619817	706.843020	16.356336	31.555019	423792.383544	1177.545691	359.894641	8433.489258	1348.973054	2986.737402	8.934296	9.010445	9.167651	8.853238	30.588863	0.994764	1864415.704214	2459357.966313
7	ogg2m001-ep04-20210522-0161-e91.fits.fz	7.000000	0.000000	59357.964095	2459357.964095	NaN	NaN	NaN	NaN	NaN	1.023602	10.551145	10.000000	60.000000	90.000000	0.261626	0.333368	0.209348	0.364891	0.448293	0.000948	0.001290	0.001027	0.001359	0.001558	275.972995	258.359479	203.803010	268.482743	287.770647	1360782.920592	2273.701022	1048.778454	1042.208491	1049.278454	1006.291509	16.352007	31.577270	356016.146858	314.159265	1144.703095	311.011780	8025.498047	1133.234592	2960.864840	12116.000000	8.508568	8.953862	8.966105	8.941620	43.973414	0.994174	1391442.090351	1903.015716	988.486647	1903.515716	1060.013353	16.347059	31.581278	340222.065468	1142.172169	297.872838	8309.648438	1082.960469	2986.687901	7.768014	8.698943	8.546162	8.851723	57.493047	0.993089	1431038.400740	2040.159246	1021.802601	2040.659246	1026.697399	16.346264	31.578812	235562.253623	1077.139048	218.692521	6868.723145	796.181545	2984.919273	7.793205	11.649204	10.536567	12.761842	84.853005	0.962985	1382530.103555	1279.878100	1817.958846	1280.378100	230.541154	16.350666	31.519856	363792.458281	1150.636826	316.166187	7735.783203	1157.987360	2976.993659	9.091937	9.114752	8.972948	9.256556	53.004865	0.987278	1331704.365125	301.039608	1341.811204	301.539608	706.688796	16.356336	31.555030	421206.143220	1175.144860	358.429124	8088.871094	1340.740795	2977.713063	9.437175	9.257819	9.281160	9.234479	43.349621	0.992331	1655210.312219	2459357.968445
8	ogg2m001-ep04-20210522-0162-e91.fits.fz	8.000000	0.000000	59357.966226	2459357.966226	NaN	NaN	NaN	NaN	NaN	1.024970	9.845220	10.000000	60.000000	90.000000	0.261523	0.333638	0.208559	0.364998	0.448985	0.000934	0.001271	0.001009	0.001338	0.001536	280.131477	262.517589	206.690606	272.758279	292.357213	1386253.070907	2280.189598	1048.774688	1042.112373	1049.274688	1006.387627	16.352007	31.577264	362537.463599	314.159265	1148.595910	315.635343	9075.876953	1153.992588	2967.994202	12337.000000	7.749282	8.402545	8.448128	8.356962	40.723870	0.994677	1829706.291330	1902.957498	988.381297	1903.457498	1060.118703	16.347059	31.581275	346800.831239	1145.663679	302.707363	9916.461914	1103.901331	2990.874245	6.803175	8.153721	8.051337	8.256105	54.309246	0.993815	1925888.019177	2040.145612	1021.717473	2040.645612	1026.782527	16.346265	31.578808	239223.767617	1078.914191	221.726408	7800.720703	808.095575	2987.946203	6.849561	11.428315	10.354785	12.501845	87.130746	0.964969	1624277.541285	1279.846598	1817.880901	1280.346598	230.619099	16.350666	31.519852	370681.420331	1153.973073	321.221898	8496.637695	1179.915607	2982.465534	8.496659	8.610270	8.519223	8.701317	50.765384	0.988809	1712766.184180	300.915288	1341.689683	301.415288	706.810317	16.356337	31.555023	429547.051720	1179.410722	364.204805	8908.890625	1367.290731	2984.349002	8.776278	8.776379	8.883132	8.669626	37.269417	0.991675	2154915.226570	2459357.970577
9	ogg2m001-ep04-20210522-0163-e91.fits.fz	9.000000	0.000000	59357.968359	2459357.968359	NaN	NaN	NaN	NaN	NaN	1.026489	9.439153	10.000000	60.000000	90.000000	0.262271	0.330140	0.212230	0.366584	0.446086	0.000932	0.001260	0.001018	0.001339	0.001525	281.429606	261.920264	208.451516	273.840021	292.475104	1387814.287291	2279.410602	1048.287270	1042.662069	1048.787270	1005.837931	16.352008	31.577266	363984.005049	314.159265	1146.879710	317.368946	9497.998047	1158.597072	2950.885538	12214.000000	7.469162	8.208477	8.307896	8.109058	35.719624	0.994210	2027659.140287	1902.529449	988.962499	1903.029449	1059.537501	16.347059	31.581277	344454.714455	1142.593752	301.467353	10272.797852	1096.433410	2976.069878	6.591472	7.952890	7.902309	8.003471	49.551657	0.993537	2072599.718886	2039.764590	1022.370584	2040.264590	1026.129416	16.346264	31.578805	242970.575363	1085.189652	223.896878	8080.323730	808.398057	2971.431953	6.664336	11.482009	10.609161	12.354857	86.459060	0.976797	1511935.214637	1279.394749	1818.507128	1279.894749	229.992872	16.350666	31.519846	372278.666573	1152.597074	322.991160	9035.783203	1184.999800	2966.288372	8.185939	8.441749	8.486965	8.396533	42.316350	0.986885	1878294.844690	300.521321	1342.221429	301.021321	706.278571	16.356337	31.555023	428110.330900	1176.467429	363.894759	9819.170898	1362.717507	2966.543148	8.439636	8.502267	8.679881	8.324654	31.141861	0.991937	2381960.022624	2459357.972710
10	ogg2m001-ep04-20210522-0164-e91.fits.fz	10.000000	0.000000	59357.970491	2459357.970491	NaN	NaN	NaN	NaN	NaN	1.028162	9.324060	10.000000	60.000000	90.000000	0.260629	0.330854	0.209636	0.364775	0.450986	0.000931	0.001264	0.001017	0.001336	0.001539	280.000240	261.838931	206.179245	272.964810	292.950859	1384891.681705	2278.415357	1048.044363	1041.964214	1048.544363	1006.535786	16.352008	31.577263	360943.304894	314.159265	1144.162791	315.464991	9446.576172	1148.918223	2942.739878	11958.000000	7.370888	8.218313	8.275257	8.161369	39.611217	0.994509	1993220.658803	1902.350616	988.249877	1902.850616	1060.250123	16.347059	31.581276	344288.013286	1141.640141	301.573150	10139.545898	1095.902783	2970.140051	6.671956	7.940391	7.831065	8.049717	55.932201	0.994535	2046669.727476	2039.597725	1021.650013	2040.097725	1026.849987	16.346264	31.578805	240009.049683	1085.700379	221.063798	7908.235352	793.654771	2965.223135	6.636385	11.564546	10.814602	12.314491	89.241557	0.983308	1445791.725593	1279.181420	1817.747454	1279.681420	230.752546	16.350666	31.519847	370151.945589	1150.793107	321.649429	8927.012695	1178.230237	2959.455218	8.102064	8.436398	8.314991	8.557806	51.952868	0.985663	1874589.227732	300.246007	1341.543900	300.746007	706.956100	16.356338	31.555019	430442.673147	1176.760060	365.786270	9656.168945	1370.141583	2959.853237	8.399854	8.569768	8.640823	8.498713	39.550658	0.992309	2352437.261329	2459357.974842
