 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	JD_MOBS	HJD_MOBS	BJD_MOBS	ALT_OBJ	AIRMASS	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	Variance_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	Variance_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	Variance_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	Variance_C4	BJD_TDB
1	ogg2m001-ep03-20210522-0155-e91.fits.fz	1.000000	0.000000	59357.950739	2459357.950739	NaN	NaN	NaN	NaN	NaN	1.018474	9.613614	15.000000	60.000000	90.000000	0.372974	2.188893	0.205641	0.166893	0.000497	0.003660	0.000433	0.000396	751.153501	598.102376	474.998474	421.955600	3117648.428991	2194.188592	1032.236541	1038.917254	1032.736541	1009.582746	16.351999	31.577630	1162803.082167	706.858347	1314.015366	884.923504	18526.193359	1645.029852	753.239961	11937.000000	9.421443	9.836951	9.769413	9.904490	49.738090	0.993044	8424302.327083	1972.874145	1219.642819	1973.374145	828.857181	16.346521	31.563872	2139989.841771	1645.500649	1300.509874	33318.878906	3027.466324	754.323550	9.720711	9.856132	9.629804	10.082460	57.964223	0.988979	28051103.624003	1396.910965	1495.820439	1397.410965	552.679561	16.349885	31.543492	531762.937366	1046.922045	507.929831	8708.764648	752.290667	753.986634	9.704317	9.812008	9.696804	9.927212	51.599086	0.989425	1748261.343047	293.523563	87.532298	294.023563	1960.967702	16.356286	31.648686	445895.649854	1005.358354	443.519117	7723.725098	630.813305	754.341594	9.607985	9.861695	9.842518	9.880873	57.683425	0.999918	1219353.967303	2459357.955090
2	ogg2m001-ep03-20210522-0156-e91.fits.fz	2.000000	0.000000	59357.951760	2459357.951760	NaN	NaN	NaN	NaN	NaN	1.018657	11.968662	15.000000	60.000000	90.000000	0.373377	2.188089	0.205496	0.167136	0.000497	0.003663	0.000433	0.000396	750.756673	597.387745	474.107786	421.752057	3116835.699643	2195.978027	1032.192185	1038.945277	1032.692185	1009.554723	16.351999	31.577633	1163753.877394	706.858347	1315.505312	884.643997	16923.304688	1646.374952	757.479332	12132.000000	9.434889	9.825102	9.719738	9.930467	55.878058	0.996652	8415927.381387	1972.790189	1219.712997	1973.290189	828.787003	16.346522	31.563870	2139185.676041	1646.238478	1299.438511	29581.050781	3026.328663	758.783149	9.659271	9.824258	9.506762	10.141754	67.659484	0.991754	27975988.109712	1396.845032	1495.940921	1397.345032	552.559079	16.349885	31.543488	531313.253417	1048.156310	506.902690	7958.177734	751.654494	758.237472	9.760078	9.796727	9.598039	9.995415	59.400967	0.992918	1730161.704216	293.421547	87.640567	293.921547	1960.859433	16.356286	31.648681	446336.770184	1006.770439	443.335196	7220.000977	631.437362	758.228722	9.406798	9.906754	9.833364	9.980144	80.656258	0.999755	1227065.841977	2459357.956111
3	ogg2m001-ep03-20210522-0157-e91.fits.fz	3.000000	0.000000	59357.952782	2459357.952782	NaN	NaN	NaN	NaN	NaN	1.018874	12.536639	15.000000	60.000000	90.000000	0.372650	2.183426	0.206341	0.166970	0.000497	0.003657	0.000435	0.000397	749.548665	597.122015	474.621721	420.764293	3121362.257749	2200.929866	1031.857687	1038.918109	1032.357687	1009.581891	16.351999	31.577633	1163176.483159	706.858347	1317.385287	882.943277	17751.296875	1645.558107	765.144621	11934.000000	9.428310	9.720184	9.769107	9.671261	37.481596	0.998495	8767280.481475	1972.389692	1219.618129	1972.889692	828.881871	16.346522	31.563877	2140858.183980	1648.594699	1298.595820	33333.339844	3028.694777	767.160167	9.656490	9.678307	9.486498	9.870116	60.695655	0.994214	29685306.590652	1396.498677	1495.890371	1396.998677	552.609629	16.349885	31.543488	533900.128368	1051.782339	507.614654	8157.030273	755.314174	764.929797	9.753961	9.836174	9.794958	9.877389	48.988465	0.996353	1793244.468803	293.100367	87.547573	293.600367	1960.952427	16.356287	31.648691	446603.945401	1009.941437	442.207765	7835.062012	631.815338	765.720994	9.339134	9.829958	9.935214	9.724701	347.378294	0.999440	1280309.322925	2459357.957133
4	ogg2m001-ep03-20210522-0158-e91.fits.fz	4.000000	0.000000	59357.953803	2459357.953803	NaN	NaN	NaN	NaN	NaN	1.019126	12.682076	15.000000	60.000000	90.000000	0.374469	2.185395	0.206260	0.166781	0.000500	0.003674	0.000436	0.000398	749.238090	594.903606	472.912342	418.872265	3113675.519446	2201.671788	1031.874253	1038.973739	1032.374253	1009.526261	16.351999	31.577634	1165973.970822	706.858347	1319.874608	883.397532	21269.451172	1649.515742	769.601138	12159.000000	9.467730	9.807527	9.766456	9.848597	52.471199	0.998945	8873650.645198	1972.400110	1219.627701	1972.900110	828.872299	16.346522	31.563878	2136190.495438	1648.132655	1296.127765	36334.675781	3022.091349	772.230680	9.793524	9.799280	9.529043	10.069516	71.537104	0.995247	29656308.668258	1396.484249	1495.893199	1396.984249	552.606801	16.349885	31.543491	532412.546949	1052.803278	505.709431	9948.464844	753.209677	769.578391	9.677417	9.744313	9.631734	9.856892	57.466092	0.996996	1849536.522325	293.054998	87.606165	293.554998	1960.893835	16.356286	31.648695	445072.477058	1011.248075	440.121952	8883.082031	629.648753	772.092720	9.252993	9.859082	9.884410	9.833754	323.075033	0.999659	1287321.627830	2459357.958154
5	ogg2m001-ep03-20210522-0159-e91.fits.fz	5.000000	0.000000	59357.954848	2459357.954848	NaN	NaN	NaN	NaN	NaN	1.019420	12.488177	15.000000	60.000000	90.000000	0.374246	2.200463	0.204689	0.166242	0.000500	0.003713	0.000435	0.000398	748.611401	592.679844	470.280335	417.649651	3111770.522073	2202.272512	1031.730152	1038.703682	1032.230152	1009.796318	16.351999	31.577634	1164569.194346	706.858347	1319.363266	882.675170	18519.589844	1647.528390	770.452989	12104.000000	9.160406	9.799023	9.808488	9.789558	43.419053	0.998773	8825128.074801	1972.255232	1219.472349	1972.755232	829.027651	16.346522	31.563874	2139482.951130	1649.445295	1297.092397	33813.687500	3026.749221	773.098311	9.536570	9.767332	9.551930	9.982735	70.083465	0.996704	29565206.761576	1396.333570	1495.655219	1396.833570	552.844781	16.349885	31.543491	528721.069838	1052.217967	502.482457	9064.376953	747.987305	773.631245	9.528855	9.686044	9.605040	9.767049	53.794780	0.996937	1819943.331400	292.973348	87.371239	293.473348	1961.128761	16.356287	31.648686	443566.501105	1011.025117	438.729458	7922.150391	627.518233	773.310289	9.044802	9.814831	9.938834	9.690828	338.504950	0.998807	1286118.811176	2459357.959199
6	ogg2m001-ep03-20210522-0160-e91.fits.fz	6.000000	0.000000	59357.955869	2459357.955869	NaN	NaN	NaN	NaN	NaN	1.019742	12.457301	15.000000	60.000000	90.000000	0.373743	2.189276	0.206065	0.166444	0.000500	0.003686	0.000436	0.000398	748.124308	593.889114	472.147372	417.868482	3113757.762182	2203.366832	1031.797639	1038.929176	1032.297639	1009.570824	16.351999	31.577629	1163746.623407	706.858347	1319.697397	881.828384	18057.220703	1646.364690	772.268115	12138.000000	9.215558	9.961962	9.994821	9.929103	38.971229	0.999003	8282293.471086	1972.331492	1219.614274	1972.831492	828.885726	16.346522	31.563872	2137436.497334	1649.154795	1296.079970	34300.214844	3023.854081	774.570863	9.348087	9.862783	9.693068	10.032498	61.943200	0.996192	28411305.886916	1396.430813	1495.884516	1396.930813	552.615484	16.349885	31.543486	532007.656632	1053.874965	504.810983	8521.803711	752.636874	773.751087	9.539610	9.891519	9.839651	9.943387	50.148381	0.996558	1717157.684794	293.032096	87.594014	293.532096	1960.905986	16.356286	31.648681	444313.608215	1012.156815	438.977045	7380.610352	628.575174	775.491977	9.237772	10.109788	10.203461	10.016115	335.543885	0.999205	1182654.126229	2459357.960220
7	ogg2m001-ep03-20210522-0161-e91.fits.fz	7.000000	0.000000	59357.956890	2459357.956890	NaN	NaN	NaN	NaN	NaN	1.020098	12.753211	15.000000	60.000000	90.000000	0.372735	2.180376	0.207189	0.166588	0.000498	0.003662	0.000437	0.000398	748.061906	595.478008	474.004828	418.603111	3123825.853767	2207.878962	1031.763340	1038.614166	1032.263340	1009.885834	16.351999	31.577627	1164358.845258	706.858347	1321.151706	881.321078	17002.812500	1647.230807	776.942035	12255.000000	9.501697	9.997627	10.049641	9.945614	38.963792	0.997525	7959757.924368	1972.316529	1219.275272	1972.816529	829.224728	16.346522	31.563869	2141606.706817	1651.599950	1296.686105	29659.451172	3029.753720	779.785249	9.630934	9.934620	9.720360	10.148880	61.193301	0.993521	27051799.300844	1396.418348	1495.569826	1396.918348	552.930174	16.349885	31.543483	536139.785198	1057.398392	507.036694	7900.470215	758.482640	777.839776	9.835761	10.026475	9.991565	10.061384	47.577447	0.993994	1651498.162654	293.018105	87.279682	293.518105	1961.220318	16.356286	31.648682	446079.361752	1014.325271	439.779403	7082.174805	631.073204	779.415556	9.587149	10.072127	10.180081	9.964174	352.612656	0.999509	1151758.144271	2459357.961241
8	ogg2m001-ep03-20210522-0162-e91.fits.fz	8.000000	0.000000	59357.957911	2459357.957911	NaN	NaN	NaN	NaN	NaN	1.020488	12.738129	15.000000	60.000000	90.000000	0.373065	2.197029	0.204847	0.166550	0.000500	0.003714	0.000436	0.000400	746.420941	591.586289	469.316565	416.809340	3120551.730256	2211.870485	1031.621088	1039.242820	1032.121088	1009.257180	16.351999	31.577626	1164169.518232	706.858347	1323.502194	879.612836	17381.150391	1646.962964	785.774220	11977.000000	9.550441	9.841645	9.765597	9.917693	52.986114	0.996846	8380768.869298	1972.169090	1219.875523	1972.669090	828.624477	16.346522	31.563875	2144473.124101	1654.431395	1296.199486	32682.527344	3033.808871	788.505516	9.523573	9.820214	9.520278	10.120149	66.525164	0.992008	28401932.930313	1396.207711	1496.130280	1396.707711	552.369720	16.349885	31.543487	530553.350351	1058.147368	501.398356	8328.005859	750.579451	787.844176	9.641196	9.796096	9.645981	9.946212	56.577990	0.993928	1726324.226912	292.867840	87.962887	293.367840	1960.537113	16.356287	31.648676	445525.255804	1017.620729	437.810712	7274.657715	630.289304	788.115578	9.484094	9.919764	9.907754	9.931775	299.646623	0.999978	1212211.905799	2459357.962262
9	ogg2m001-ep03-20210522-0163-e91.fits.fz	9.000000	0.000000	59357.958933	2459357.958933	NaN	NaN	NaN	NaN	NaN	1.020912	12.267947	15.000000	60.000000	90.000000	0.373312	2.193145	0.205560	0.166399	0.000501	0.003713	0.000438	0.000400	745.389479	590.634027	468.988265	415.560832	3124567.322027	2218.362620	1031.748511	1038.894740	1032.248511	1009.605260	16.351999	31.577628	1166439.436912	706.858347	1327.782512	878.486820	19191.753906	1650.174242	796.703736	12109.000000	8.948369	9.584813	9.573416	9.596210	46.121301	0.996307	9305782.961154	1972.283172	1219.589922	1972.783172	828.910078	16.346522	31.563871	2146043.841213	1657.590673	1294.676591	34855.078125	3036.030982	800.055460	9.191855	9.545085	9.301720	9.788450	59.664054	0.989176	31486440.724407	1396.353498	1495.814006	1396.853498	552.685994	16.349885	31.543487	532770.362683	1063.161995	501.118705	9127.987305	753.715882	798.048519	9.135366	9.519925	9.388577	9.651273	54.071003	0.992149	1931849.625630	292.932385	87.564379	293.432385	1960.935621	16.356287	31.648680	445753.118131	1021.377721	436.423381	8173.080078	630.611664	798.529777	9.058070	9.698522	9.703102	9.693942	43.738608	0.999540	1334750.887958	2459357.963284
10	ogg2m001-ep03-20210522-0164-e91.fits.fz	10.000000	0.000000	59357.959954	2459357.959954	NaN	NaN	NaN	NaN	NaN	1.021373	11.950304	15.000000	60.000000	90.000000	0.373815	2.182265	0.207173	0.166349	0.000503	0.003705	0.000442	0.000402	743.138697	589.060731	468.839077	413.337525	3116552.203864	2221.134627	1031.564789	1039.052693	1032.064789	1009.447307	16.351999	31.577628	1165013.067078	706.858347	1329.764671	876.104692	18024.519531	1648.156341	805.888475	12093.000000	8.751517	9.666869	9.682583	9.651154	43.971763	0.991791	9172703.299155	1972.186385	1219.768844	1972.686385	828.731156	16.346522	31.563869	2137201.915253	1657.082764	1289.737581	32076.642578	3023.522215	809.629056	8.901463	9.615323	9.399339	9.831307	56.381298	0.986532	31036231.516963	1396.231734	1496.015301	1396.731734	552.484699	16.349885	31.543483	534856.484061	1067.038335	501.253298	8647.009766	756.667140	806.698803	9.052837	9.654369	9.533785	9.774953	51.911854	0.989073	1905119.901802	292.812826	87.739034	293.312826	1960.760966	16.356287	31.648681	444493.804550	1024.180129	433.999638	7474.422852	628.830099	807.816637	8.827453	9.704510	9.791444	9.617576	34.022174	0.997704	1322409.606389	2459357.964305
