 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	JD_MOBS	HJD_MOBS	BJD_MOBS	ALT_OBJ	AIRMASS	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_T5	rel_flux_T6	rel_flux_C7	rel_flux_C8	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_T5	rel_flux_err_T6	rel_flux_err_C7	rel_flux_err_C8	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_T5	rel_flux_SNR_T6	rel_flux_SNR_C7	rel_flux_SNR_C8	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	Variance_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	Variance_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	Variance_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	Variance_C4	X(IJ)_T5	Y(IJ)_T5	X(FITS)_T5	Y(FITS)_T5	RA_T5	DEC_T5	Source-Sky_T5	Source_Error_T5	Source_SNR_T5	Peak_T5	Mean_T5	Sky/Pixel_T5	FWHM_T5	Width_T5	X-Width_T5	Y-Width_T5	Angle_T5	Roundness_T5	Variance_T5	X(IJ)_T6	Y(IJ)_T6	X(FITS)_T6	Y(FITS)_T6	RA_T6	DEC_T6	Source-Sky_T6	Source_Error_T6	Source_SNR_T6	Peak_T6	Mean_T6	Sky/Pixel_T6	FWHM_T6	Width_T6	X-Width_T6	Y-Width_T6	Angle_T6	Roundness_T6	Variance_T6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	RA_C7	DEC_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	Variance_C7	X(IJ)_C8	Y(IJ)_C8	X(FITS)_C8	Y(FITS)_C8	RA_C8	DEC_C8	Source-Sky_C8	Source_Error_C8	Source_SNR_C8	Peak_C8	Mean_C8	Sky/Pixel_C8	FWHM_C8	Width_C8	X-Width_C8	Y-Width_C8	Angle_C8	Roundness_C8	Variance_C8	BJD_TDB
1	ogg2m001-ep02-20210522-0156-e91.fits.fz	1.000000	0.000000	59357.951300	2459357.951300	NaN	NaN	NaN	NaN	NaN	1.018583	9.345667	15.000000	60.000000	90.000000	0.194526	0.274394	0.440323	0.205006	0.154602	0.143923	0.165439	0.200325	0.000301	0.000407	0.000557	0.000352	0.000281	0.000276	0.000323	0.000349	646.499690	673.699861	790.006559	582.520473	549.672595	520.813581	512.641199	574.663848	6439351.526182	3992.623089	1050.902880	1048.217341	1051.402880	1000.282659	16.352004	31.577371	1252624.073715	706.858347	1775.070194	705.675797	21150.582031	1772.100561	2536.436944	12058.000000	9.254786	9.716980	9.689505	9.744454	47.805004	0.996654	10053910.797480	1796.020140	1673.699277	1796.520140	374.800723	16.347699	31.530784	1386478.189239	1811.707405	765.288139	19805.835938	1961.465398	2533.670645	10.428903	10.305123	10.174289	10.435958	53.198604	0.991912	10141807.460469	1418.070803	1504.780762	1418.570803	543.719238	16.349886	31.543424	1968581.505882	1966.902758	1000.853498	28839.519531	2784.973134	2539.640875	9.845618	10.018536	9.963948	10.073125	48.976940	0.993798	22486250.653192	1284.818379	1823.593259	1285.318379	224.906741	16.350666	31.519835	1095519.359027	1729.933545	633.272510	17490.708984	1549.842855	2535.908096	9.754829	9.920122	9.814748	10.025497	51.251681	0.990373	7089469.703805	647.055404	1904.712902	647.555404	143.787098	16.354364	31.514000	995533.807708	1702.706566	584.677259	18034.582031	1408.392236	2543.733887	8.856637	9.518244	9.394832	9.641656	51.800564	0.987844	6773395.753408	305.430383	1351.175425	305.930383	697.324575	16.356334	31.555113	926773.469326	1684.137957	550.295459	18563.316406	1311.116256	2552.071470	8.116850	9.214637	9.020393	9.408881	59.307722	0.992258	6602292.803443	504.635658	1551.049970	505.135658	497.450030	16.355183	31.540249	914093.842708	1679.391008	544.300784	17551.322266	1293.178253	2547.946029	8.460505	9.323260	9.214219	9.432300	51.904188	0.990398	6108525.084350	1703.721142	180.144103	1704.221142	1868.355897	16.348196	31.641512	1074678.629326	1725.405667	622.855627	16917.693359	1520.359254	2542.155723	10.047208	10.187903	10.038163	10.337643	70.362890	0.998559	6394042.132799	2459357.955651
2	ogg2m001-ep02-20210522-0157-e91.fits.fz	2.000000	0.000000	59357.953433	2459357.953433	NaN	NaN	NaN	NaN	NaN	1.019044	10.474361	15.000000	60.000000	90.000000	0.194527	0.275135	0.440091	0.204954	0.153904	0.144156	0.165656	0.199651	0.000301	0.000408	0.000557	0.000352	0.000281	0.000276	0.000323	0.000348	646.631244	674.614439	789.998853	582.502576	547.883494	521.668204	513.144012	573.835664	6442374.287979	3993.763350	1050.450011	1048.160620	1050.950011	1000.339380	16.352005	31.577373	1253214.458478	706.858347	1775.538820	705.822055	23082.859375	1772.935785	2539.135361	12268.000000	9.252753	9.660833	9.682026	9.639640	41.579548	0.998643	10424252.920666	1795.560079	1673.586872	1796.060079	374.913128	16.347699	31.530788	1390067.088366	1813.072839	766.691254	21661.621094	1966.542652	2537.175242	10.369292	10.273226	10.150633	10.395819	53.957697	0.993982	10634508.526340	1417.653203	1504.714254	1418.153203	543.785746	16.349886	31.543424	1968785.935064	1967.567795	1000.619110	32521.748047	2785.262342	2541.824872	9.784550	9.904415	9.884800	9.924031	47.022017	0.996846	23545037.182608	1284.403382	1823.469258	1284.903382	225.030742	16.350666	31.519839	1095801.195576	1730.516646	633.221991	19185.242188	1550.241573	2538.734854	9.879170	9.962018	9.961485	9.962552	45.042491	0.994793	7244256.324031	646.670399	1904.624627	647.170399	143.875373	16.354364	31.514002	991510.081108	1702.129501	582.511542	19932.509766	1402.699827	2545.778198	8.940347	9.502041	9.455821	9.548261	48.595131	0.993959	6826414.715263	305.027179	1351.098986	305.527179	697.401014	16.356334	31.555115	928706.789753	1684.600399	551.292040	20227.603516	1313.851345	2551.872473	8.105810	9.189829	9.189469	9.190189	45.057017	0.998452	6782193.262029	504.231434	1550.943691	504.731434	497.556309	16.355183	31.540253	915551.120833	1680.219244	544.899794	18595.234375	1295.239880	2546.754763	8.483041	9.323887	9.288103	9.359670	49.206511	0.997248	6236274.075288	1703.283036	180.109302	1703.783036	1868.390698	16.348196	31.641513	1072168.948140	1724.460778	621.741568	18211.505859	1516.808782	2543.564485	9.634261	10.023722	9.988587	10.058858	63.736406	0.999867	6844313.132828	2459357.957784
3	ogg2m001-ep02-20210522-0158-e91.fits.fz	3.000000	0.000000	59357.955566	2459357.955566	NaN	NaN	NaN	NaN	NaN	1.019655	10.434080	15.000000	60.000000	90.000000	0.194496	0.274135	0.441288	0.205843	0.154531	0.144043	0.165331	0.199171	0.000302	0.000408	0.000560	0.000353	0.000282	0.000277	0.000323	0.000349	644.951250	671.700403	788.566570	582.304601	548.238224	520.017906	511.266553	571.404919	6430422.870021	3996.784598	1050.359962	1048.198240	1050.859962	1000.301760	16.352005	31.577370	1250694.390025	706.858347	1776.580162	703.989843	21871.814453	1769.370618	2546.870637	12009.000000	9.004847	9.790692	9.847826	9.733558	31.283575	0.999358	10014689.281332	1795.474653	1673.625701	1795.974653	374.874299	16.347699	31.530788	1383530.687383	1813.632667	762.850555	20464.703125	1957.295536	2545.538398	10.155871	10.319512	10.176818	10.462205	60.182445	0.997008	10175763.805160	1417.579538	1504.760479	1418.079538	543.739521	16.349886	31.543423	1968842.005342	1969.300333	999.767263	29748.794922	2785.341665	2550.851129	9.629955	10.006541	9.976565	10.036517	48.761134	0.997906	22743643.746449	1284.306647	1823.526506	1284.806647	224.973494	16.350666	31.519837	1097702.657813	1733.215871	633.332914	18000.937500	1552.931591	2547.894214	9.697529	10.024178	9.966667	10.081689	50.641174	0.996560	7027666.072007	646.564484	1904.643545	647.064484	143.856455	16.354364	31.514001	993697.522587	1704.053618	583.137474	17685.923828	1405.794424	2552.975231	8.749159	9.676895	9.667122	9.686668	45.969670	0.996438	6581772.004067	304.939651	1351.152506	305.439651	697.347494	16.356334	31.555110	926257.106396	1685.598196	549.512398	18871.486328	1310.385752	2560.106802	7.840217	9.351504	9.393662	9.309347	38.291122	0.998490	6496096.553610	504.142545	1551.007938	504.642545	497.492062	16.355183	31.540248	912316.646197	1680.694793	542.821130	17676.042969	1290.664035	2555.780123	8.347414	9.398922	9.423454	9.374389	42.403174	0.996674	5971105.349245	1703.169665	180.195130	1703.669665	1868.304870	16.348197	31.641508	1068030.873285	1725.719450	618.890210	17745.101562	1510.954603	2551.910134	9.573288	10.076402	10.044782	10.108022	73.285773	0.999943	6615147.872343	2459357.959917
4	ogg2m001-ep02-20210522-0159-e91.fits.fz	4.000000	0.000000	59357.957699	2459357.957699	NaN	NaN	NaN	NaN	NaN	1.020415	10.537301	15.000000	60.000000	90.000000	0.194639	0.274594	0.440725	0.205056	0.153979	0.144232	0.165733	0.199508	0.000302	0.000409	0.000560	0.000354	0.000282	0.000278	0.000324	0.000349	644.420820	671.371699	787.326349	580.060562	546.021458	519.554381	511.019731	571.039528	6445027.752031	4011.867583	1050.213414	1048.327664	1050.713414	1000.172336	16.352005	31.577367	1254454.247838	706.858347	1783.156931	703.501877	21028.699219	1774.689728	2572.677711	12047.000000	9.175497	9.737205	9.728495	9.745915	46.034255	0.997543	10003194.425073	1795.323613	1673.731511	1795.823613	374.768489	16.347699	31.530784	1388495.011321	1820.294071	762.786098	20067.240234	1964.318618	2573.394534	10.293221	10.285276	10.107855	10.462698	56.058806	0.991609	10168008.709519	1417.385010	1504.873804	1417.885010	543.626196	16.349886	31.543419	1971567.158142	1975.440908	998.039046	28543.751953	2789.196968	2579.226237	9.732486	9.986314	9.924809	10.047819	49.965735	0.994900	22487135.845108	1284.143485	1823.628576	1284.643485	224.871424	16.350666	31.519834	1096706.408584	1739.277702	630.552791	17219.894531	1551.522187	2575.272122	9.714009	10.000843	9.892110	10.109577	52.197416	0.992351	6960077.563945	646.398465	1904.784049	646.898465	143.715951	16.354364	31.513997	992396.252127	1709.302912	580.585363	16753.347656	1403.953503	2579.167849	8.857610	9.587332	9.459847	9.714816	54.228836	0.992947	6549184.688380	304.753420	1351.279714	305.253420	697.220286	16.356334	31.555108	929580.651275	1693.035761	549.061439	17691.710938	1315.087606	2587.588142	7.969836	9.320094	9.246519	9.393670	56.116562	0.998259	6471596.411173	503.968814	1551.104058	504.468814	497.395942	16.355183	31.540248	916292.937053	1688.585253	542.639429	16792.974609	1296.289336	2583.502649	8.410292	9.428924	9.434786	9.423063	44.461430	0.995625	5911150.727351	1703.031846	180.306030	1703.531846	1868.193970	16.348196	31.641505	1071966.236931	1732.869625	618.607552	17010.945312	1516.522004	2580.144978	9.711379	10.014303	9.944968	10.083638	58.387095	0.999055	6569336.672661	2459357.962050
5	ogg2m001-ep02-20210522-0160-e91.fits.fz	5.000000	0.000000	59357.959832	2459357.959832	NaN	NaN	NaN	NaN	NaN	1.021327	10.002338	15.000000	60.000000	90.000000	0.195366	0.274487	0.441556	0.204869	0.154623	0.144802	0.165449	0.199513	0.000303	0.000409	0.000561	0.000354	0.000283	0.000278	0.000324	0.000350	645.282846	670.366779	786.812187	579.183480	546.929158	520.397937	509.989656	570.297263	6439541.930426	4013.010696	1050.255061	1048.273370	1050.755061	1000.226630	16.352005	31.577368	1258069.433100	706.858347	1785.057490	704.778104	22010.390625	1779.804169	2578.188450	11971.000000	8.555511	9.615499	9.659655	9.571344	42.183876	0.991243	10967135.751215	1795.354790	1673.673143	1795.854790	374.826857	16.347699	31.530783	1386887.900514	1821.176044	761.534232	20716.576172	1962.045021	2578.409111	9.849768	10.098132	9.944778	10.251486	52.221918	0.985179	11058568.733047	1417.434423	1504.824266	1417.934423	543.675734	16.349886	31.543419	1972464.620588	1976.443987	997.986603	29461.388672	2790.466617	2582.816365	9.244454	9.802815	9.763980	9.841649	47.204087	0.989374	24655655.869115	1284.190826	1823.580715	1284.690826	224.919285	16.350666	31.519833	1094941.454604	1739.254590	629.546394	18008.699219	1549.025288	2580.046624	9.264512	9.811270	9.733538	9.889001	48.921445	0.986518	7605269.355477	646.479680	1904.730904	646.979680	143.769096	16.354364	31.513998	995699.936256	1711.519483	581.763717	18264.074219	1408.627259	2582.869669	8.326706	9.500169	9.437767	9.562571	48.350797	0.987329	7182308.609208	304.783457	1351.196160	305.283457	697.303840	16.356334	31.555113	932457.260037	1694.974042	550.130702	19608.492188	1319.157175	2591.600919	7.298036	9.216563	9.179949	9.253178	48.232298	0.995020	7160499.247137	504.024978	1551.069346	504.524978	497.430654	16.355183	31.540249	914168.052471	1688.292879	541.474802	18299.587891	1293.283239	2586.477629	7.770513	9.270624	9.306868	9.234381	42.744071	0.990121	6588006.956725	1703.052449	180.213604	1703.552449	1868.286396	16.348196	31.641508	1071079.902249	1733.753862	617.780831	17808.541016	1515.268097	2584.516158	9.171902	9.844266	9.767510	9.921022	52.983349	0.996787	7140009.728058	2459357.964183
6	ogg2m001-ep02-20210522-0161-e91.fits.fz	6.000000	0.000000	59357.961965	2459357.961965	NaN	NaN	NaN	NaN	NaN	1.022391	10.058226	15.000000	60.000000	90.000000	0.194735	0.274867	0.440772	0.205616	0.154055	0.143874	0.165431	0.199000	0.000302	0.000410	0.000560	0.000354	0.000282	0.000278	0.000324	0.000349	644.013123	670.977191	786.773558	580.606846	545.828140	518.169954	510.412872	569.742643	6429588.909095	4004.983105	1050.398549	1048.209779	1050.898549	1000.290221	16.352004	31.577363	1252068.201303	706.858347	1780.875567	703.063271	20054.650391	1771.314163	2564.835425	12005.000000	8.655188	9.800174	9.762704	9.837645	49.219309	0.997285	10172264.056374	1795.501439	1673.646757	1796.001439	374.853243	16.347699	31.530778	1386247.811390	1818.342696	762.368840	18217.080078	1961.139480	2565.331746	9.968797	10.306023	10.110640	10.501405	55.253997	0.988295	10186672.971549	1417.590211	1504.749749	1418.090211	543.750251	16.349886	31.543417	1966988.354444	1972.266921	997.323604	26807.021484	2782.719285	2569.483644	9.334384	9.985186	9.913916	10.056456	50.328832	0.994043	22747957.718834	1284.321833	1823.504907	1284.821833	224.995093	16.350666	31.519833	1096556.082189	1736.762856	631.379280	15861.837891	1551.309519	2566.553906	9.537196	10.034080	9.914325	10.153836	52.380570	0.991226	7013800.034374	646.549354	1904.678129	647.049354	143.821871	16.354364	31.513997	990509.507250	1706.584568	580.404585	16773.617188	1401.284305	2569.078366	8.297250	9.649201	9.443080	9.855322	59.558600	0.992298	6663639.542493	304.898709	1351.181317	305.398709	697.318683	16.356334	31.555106	925047.893086	1689.672967	547.471559	18366.158203	1308.675065	2577.954978	7.379857	9.301953	9.246058	9.357848	50.943135	0.996596	6651089.003915	504.141890	1551.016882	504.641890	497.483118	16.355182	31.540246	912668.225969	1684.024202	541.956716	16806.365234	1291.161418	2571.218283	7.965513	9.462818	9.401780	9.523856	50.329853	0.995136	6049799.197519	1703.201770	180.151976	1703.701770	1868.348024	16.348196	31.641499	1067128.435102	1729.566412	616.991882	16753.394531	1509.677914	2570.827734	9.325282	9.987366	9.974420	10.000312	46.685296	0.998056	6710012.226671	2459357.966316
7	ogg2m001-ep02-20210522-0162-e91.fits.fz	7.000000	0.000000	59357.964099	2459357.964099	NaN	NaN	NaN	NaN	NaN	1.023606	10.363358	15.000000	60.000000	90.000000	0.194070	0.275170	0.440317	0.205102	0.154372	0.143885	0.165845	0.199116	0.000302	0.000410	0.000560	0.000354	0.000282	0.000278	0.000325	0.000349	642.628940	671.293954	786.387184	579.661799	546.668136	518.272105	511.003349	569.787845	6427115.055046	4004.349278	1050.251354	1048.472233	1050.751354	1000.027767	16.352005	31.577367	1247311.647002	706.858347	1778.586458	701.293795	18591.787109	1764.585015	2561.658459	11937.000000	8.973055	10.004496	9.877932	10.131061	54.734635	0.994239	9317885.671338	1795.339279	1673.889436	1795.839279	374.610564	16.347699	31.530783	1386913.068027	1817.845065	762.943495	17903.492188	1962.080626	2563.213732	10.201263	10.561446	10.264738	10.858154	58.907089	0.985523	9579403.587751	1417.426803	1504.994925	1417.926803	543.505075	16.349886	31.543422	1964823.660682	1971.710474	996.507188	25653.410156	2779.656870	2567.892324	9.628953	10.277767	10.082736	10.472797	56.221067	0.990124	21084312.692184	1284.185180	1823.739395	1284.685180	224.760605	16.350666	31.519837	1093861.816745	1735.872333	630.151075	15742.460938	1547.497913	2565.098694	9.681419	10.315736	10.058134	10.573338	57.337448	0.985706	6512159.135556	646.430940	1904.891821	646.930940	143.608179	16.354364	31.514001	992164.765998	1706.415452	581.432127	16139.880859	1403.626017	2565.249668	8.758508	9.962251	9.718555	10.205946	56.965321	0.985470	6096346.659847	304.841637	1351.410548	305.341637	697.089452	16.356334	31.555110	924767.679503	1688.744951	547.606481	17516.308594	1308.278644	2574.021161	7.792194	9.578706	9.417686	9.739727	58.109844	0.994213	6080860.623509	504.026414	1551.233007	504.526414	497.266993	16.355183	31.540250	914277.912514	1684.696864	542.695800	15995.958008	1293.438659	2569.719886	8.227127	9.773871	9.634062	9.913681	53.441891	0.990301	5593800.053212	1703.090837	180.433426	1703.590837	1868.066574	16.348196	31.641506	1067238.597079	1729.495298	617.080948	15165.651367	1509.833762	2569.537933	9.586118	10.279333	10.141620	10.417046	59.308918	0.996872	6232890.512713	2459357.968449
8	ogg2m001-ep02-20210522-0163-e91.fits.fz	8.000000	0.000000	59357.966232	2459357.966232	NaN	NaN	NaN	NaN	NaN	1.024973	9.756302	15.000000	60.000000	90.000000	0.194405	0.275335	0.440423	0.204780	0.154456	0.143631	0.165585	0.199491	0.000301	0.000409	0.000558	0.000353	0.000282	0.000277	0.000323	0.000349	645.113280	673.581616	788.860387	580.900002	548.558740	519.453528	512.242943	572.215080	6457871.226887	4010.878293	1050.285841	1048.326150	1050.785841	1000.173850	16.352004	31.577365	1255441.991818	706.858347	1783.042654	704.100931	22121.158203	1776.087100	2566.850191	11935.000000	8.333188	9.405271	9.393515	9.417028	46.097630	0.995740	11466027.942987	1795.372609	1673.760317	1795.872609	374.739683	16.347699	31.530782	1394204.921865	1821.005708	765.623587	20583.257812	1972.396489	2568.605840	9.676837	9.917363	9.705212	10.129514	55.701628	0.986268	11659485.780197	1417.468246	1504.886600	1417.968246	543.613400	16.349886	31.543418	1974556.022427	1975.244133	999.651632	30285.625000	2793.425346	2573.774656	8.996818	9.572686	9.431626	9.713745	53.602754	0.990078	25829020.131097	1284.191150	1823.663477	1284.691150	224.836523	16.350666	31.519833	1097663.759343	1738.591503	631.352309	17713.412109	1552.876561	2571.359950	9.132503	9.631642	9.539802	9.723482	49.829155	0.987082	7932604.007376	646.428944	1904.802691	646.928944	143.697309	16.354364	31.513998	997456.909026	1709.535803	583.466522	18353.933594	1411.112867	2572.042078	8.090383	9.284938	9.123759	9.446118	54.105006	0.987664	7537748.050852	304.770399	1351.296040	305.270399	697.203960	16.356334	31.555107	927548.008721	1690.140403	548.799382	20470.808594	1312.212005	2577.514188	6.999960	8.869526	8.819591	8.919462	49.884956	0.995597	7534169.745493	503.985455	1551.163719	504.485455	497.336281	16.355183	31.540244	917418.538755	1686.572758	543.954321	18369.642578	1297.881736	2574.987677	7.536801	9.113062	9.016810	9.209314	52.672157	0.993629	6858385.831218	1703.076349	180.297436	1703.576349	1868.202564	16.348196	31.641500	1074027.984497	1732.704657	619.856350	17962.542969	1519.438780	2575.286435	8.920567	9.608520	9.589085	9.627955	47.081943	0.996896	7670462.527217	2459357.970583
9	ogg2m001-ep02-20210522-0164-e91.fits.fz	9.000000	0.000000	59357.968365	2459357.968365	NaN	NaN	NaN	NaN	NaN	1.026492	9.303625	15.000000	60.000000	90.000000	0.194073	0.275688	0.440482	0.204819	0.153940	0.144314	0.165185	0.199524	0.000301	0.000409	0.000558	0.000352	0.000281	0.000277	0.000323	0.000348	644.733585	673.928349	789.024468	581.146218	547.232705	521.380599	511.505000	572.590482	6455919.031931	4008.859425	1049.880911	1048.912178	1050.380911	999.587822	16.352005	31.577366	1252917.229169	706.858347	1780.773527	703.580332	24683.199219	1772.515292	2564.316347	12262.000000	7.950815	9.143162	9.190979	9.095346	40.558385	0.995412	12597250.705415	1794.987350	1674.377858	1795.487350	374.122142	16.347699	31.530780	1395184.370798	1821.110980	766.117159	22076.691406	1973.782126	2567.042714	9.177725	9.751038	9.626593	9.875484	51.611256	0.987551	12509852.892350	1417.077493	1505.465820	1417.577493	543.034180	16.349886	31.543419	1974141.116864	1974.388549	999.874679	33779.421875	2792.838374	2569.658840	8.647623	9.380170	9.348424	9.411917	47.077816	0.991275	28044655.355223	1283.815869	1824.227280	1284.315869	224.272720	16.350666	31.519832	1097506.124508	1737.516581	631.652173	19704.984375	1552.653554	2568.982051	8.591700	9.379355	9.298217	9.460494	49.471515	0.987615	8616400.221494	646.070105	1905.337781	646.570105	143.162219	16.354364	31.513998	993821.448430	1708.018522	581.856365	20075.802734	1405.969743	2568.990909	7.646141	9.067121	8.944537	9.189705	51.861734	0.987014	8213928.719237	304.429286	1351.826330	304.929286	696.673670	16.356334	31.555109	931676.280435	1690.697380	551.060344	22136.718750	1318.052315	2575.093556	6.899319	8.706776	8.638848	8.774704	50.030333	0.992023	8305083.984786	503.633679	1551.677716	504.133679	496.822284	16.355183	31.540247	915235.657228	1685.404895	543.036074	20468.240234	1294.793591	2572.796400	7.143792	8.778260	8.729087	8.827433	48.216739	0.990004	7567779.776763	1702.705633	180.872601	1703.205633	1867.627399	16.348196	31.641508	1073851.762533	1731.110920	620.325220	19463.486328	1519.189477	2571.983910	8.615583	9.446710	9.434239	9.459181	46.686936	0.997987	8172885.623413	2459357.972716
10	ogg2m001-ep02-20210522-0165-e91.fits.fz	10.000000	0.000000	59357.970499	2459357.970499	NaN	NaN	NaN	NaN	NaN	1.028174	9.287613	15.000000	60.000000	90.000000	0.195079	0.275534	0.440566	0.204706	0.154483	0.144503	0.165743	0.199122	0.000302	0.000409	0.000559	0.000353	0.000282	0.000277	0.000324	0.000348	646.585500	673.449606	788.653174	580.524956	548.419589	521.492509	512.243622	571.464936	6456318.189988	4011.581374	1049.700950	1048.220190	1050.200950	1000.279810	16.352005	31.577365	1259491.256286	706.858347	1783.798057	706.072782	23812.882812	1781.815638	2569.777327	12095.000000	7.852195	9.272180	9.218553	9.325807	50.590347	0.996442	12448099.857645	1794.844864	1673.693846	1795.344864	374.806154	16.347699	31.530779	1394660.731020	1821.793563	765.542683	21191.943359	1973.041327	2571.891294	9.272282	9.832653	9.631119	10.034187	55.276767	0.986378	12270560.367308	1416.932005	1504.796121	1417.432005	543.703879	16.349886	31.543416	1974524.905110	1975.391548	999.561281	31873.851562	2793.381324	2575.563628	8.706101	9.468202	9.372226	9.564178	50.767404	0.989723	27617084.272261	1283.670366	1823.526342	1284.170366	224.973658	16.350666	31.519831	1097071.119796	1738.865953	630.911841	18884.373047	1552.038148	2575.765863	8.671095	9.479890	9.312071	9.647709	53.101134	0.983910	8484554.055376	645.884833	1904.620222	646.384833	143.879778	16.354365	31.513997	997392.327305	1709.822450	583.330934	19654.685547	1411.021503	2574.430463	7.798179	9.110914	8.970496	9.251331	53.239171	0.988197	8114429.578960	304.264762	1351.110464	304.764762	697.389536	16.356334	31.555108	932956.192281	1692.491745	551.232344	21677.638672	1319.863019	2581.058261	6.837916	8.793670	8.711605	8.875736	51.842878	0.993778	8211404.502785	503.482030	1550.974578	503.982030	497.525422	16.355183	31.540245	917946.224439	1687.437213	543.988373	20109.726562	1298.628259	2576.873560	7.307754	8.914108	8.773485	9.054732	54.309590	0.990240	7455101.817125	1702.559346	180.222199	1703.059346	1868.277801	16.348197	31.641505	1072115.209623	1732.218930	618.925929	18842.949219	1516.732757	2577.499863	8.551761	9.443913	9.401279	9.486547	49.412923	0.996537	8075663.494430	2459357.974850
