#BJD_TDB	rel_flux_T1_dfn	rel_flux_err_T1_dfn
2459278.862323	0.997634	0.004123
2459278.864397	1.002007	0.001870
2459278.866477	1.000770	0.001600
2459278.868565	1.000918	0.001546
2459278.870646	0.999047	0.001549
2459278.874806	0.999381	0.003514
2459278.876887	0.998252	0.006384
2459278.878963	1.000656	0.001528
2459278.881036	1.003276	0.002080
2459278.883117	0.998446	0.001650
2459278.887304	1.002896	0.002142
2459278.889381	1.001192	0.001652
2459278.891458	1.000100	0.001650
2459278.893546	1.001125	0.001688
2459278.895624	1.000230	0.001634
2459278.897703	0.998863	0.001693
2459278.899786	0.998007	0.002287
2459278.901881	1.001083	0.001747
2459278.903987	0.997888	0.001610
2459278.906060	1.001435	0.001489
2459278.908152	0.999274	0.001508
2459278.910227	1.000707	0.001497
2459278.912304	1.002470	0.001495
2459278.914375	1.000081	0.001503
2459278.916453	0.998409	0.001486
2459278.918538	0.999870	0.001501
2459278.920610	0.999940	0.001493
2459278.922705	1.002591	0.001495
2459278.924793	0.998008	0.001487
2459278.926869	0.998855	0.001509
2459278.928948	1.000707	0.002395
2459278.931019	1.001049	0.002696
2459278.933091	0.998079	0.001995
2459278.935159	1.000116	0.001747
2459278.937238	0.999777	0.001650
2459278.939320	0.996581	0.001534
2459278.941422	0.995290	0.001502
2459278.943494	0.995777	0.001515
2459278.945588	0.995412	0.001491
2459278.947671	0.996284	0.001484
2459278.949750	0.995877	0.001483
2459278.951827	0.997338	0.001488
2459278.953900	0.997674	0.001486
2459278.955984	0.993607	0.001480
2459278.958079	0.994973	0.001475
2459278.960219	0.996306	0.001468
2459278.962295	0.994263	0.001463
2459278.964371	0.994885	0.001461
2459278.966451	0.996086	0.001470
2459278.968535	0.995638	0.001465
2459278.970612	0.996834	0.001475
2459278.972695	0.996936	0.001490
2459278.974775	0.996041	0.001466
2459278.976852	0.996872	0.001481
2459278.978933	1.000444	0.001509
2459278.981006	1.000549	0.001913
2459278.983076	1.000837	0.002581
2459278.985151	1.000231	0.002783
2459278.987228	0.997970	0.002553
2459278.989309	1.001031	0.002617
2459278.991381	0.999290	0.002143
2459278.993464	1.001524	0.002460
2459278.995537	0.999394	0.002787
2459278.999728	1.002464	0.003299
2459279.001803	1.000313	0.002650
2459279.003880	1.002165	0.002567
2459279.005952	0.999932	0.002202
2459279.008040	0.997583	0.001924
2459279.010123	0.997048	0.001883
2459279.012197	0.999352	0.001857
2459279.014292	1.000604	0.001827
2459279.016377	0.995807	0.002051
