#BJD_TDB	rel_flux_T1_dfn	rel_flux_err_T1_dfn
2459299.796935	1.001660	0.001649
2459299.799015	1.000875	0.001637
2459299.801094	0.998449	0.001635
2459299.803166	1.000458	0.001626
2459299.805252	1.000576	0.001614
2459299.807344	0.999819	0.001606
2459299.809419	1.000502	0.001596
2459299.811493	0.997289	0.001593
2459299.813576	1.001024	0.001591
2459299.815649	0.998499	0.001589
2459299.819843	0.997506	0.001578
2459299.821919	0.998288	0.001580
2459299.823993	0.998711	0.001586
2459299.828151	1.001524	0.001577
2459299.830222	0.998759	0.001571
2459299.832306	1.001261	0.001574
2459299.834404	1.000895	0.001582
2459299.836479	1.002798	0.001584
2459299.838560	1.001605	0.001579
2459299.840634	1.002499	0.001584
2459299.842717	0.999707	0.001585
2459299.844791	1.000231	0.001575
2459299.846869	1.002292	0.001566
2459299.848946	0.998812	0.001550
2459299.851020	0.998485	0.001549
2459299.853104	1.000192	0.001546
2459299.855175	0.999246	0.001539
2459299.857252	0.997877	0.001537
2459299.859328	1.000190	0.001543
2459299.861393	1.000283	0.001540
2459299.863465	1.000564	0.001537
2459299.865543	0.999475	0.001538
2459299.867615	1.000339	0.001545
2459299.869688	1.001220	0.001552
2459299.871765	0.999089	0.001560
2459299.873840	0.999459	0.001568
2459299.875924	0.998346	0.001577
2459299.878006	0.997220	0.001585
2459299.880083	0.995456	0.001593
2459299.882163	0.993244	0.001597
2459299.884250	0.995162	0.001603
2459299.886320	0.996419	0.001608
2459299.888392	0.994589	0.001617
2459299.890467	0.998355	0.001624
2459299.892552	0.997965	0.001654
2459299.894636	0.996132	0.001650
2459299.896711	0.994995	0.001677
2459299.898786	0.996370	0.001670
2459299.900860	0.997956	0.001676
2459299.902934	0.994063	0.001680
2459299.905010	0.995926	0.001693
2459299.907084	0.999659	0.001711
2459299.909167	0.995651	0.001714
2459299.911240	0.996781	0.001742
2459299.913313	0.996453	0.001774
2459299.915387	0.999975	0.001832
