#BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIRMASS	Width_T1
2459357.955669	0.305037	0.001093	1.018583	8.725366
2459357.957800	0.307624	0.001094	1.019043	8.675023
2459357.959932	0.307224	0.001098	1.019654	8.767292
2459357.962063	0.306525	0.001096	1.020414	8.727961
2459357.964197	0.308333	0.001097	1.021326	8.549306
2459357.966331	0.306309	0.001096	1.022389	8.747377
2459357.968463	0.305176	0.001098	1.023602	8.916523
2459357.970595	0.305646	0.001084	1.024970	8.384636
2459357.972728	0.307730	0.001084	1.026489	8.230210
2459357.974860	0.304622	0.001081	1.028162	8.219127
2459357.976991	0.306476	0.001078	1.029993	8.158448
2459357.979123	0.306148	0.001080	1.031983	8.244230
2459357.981257	0.309818	0.001089	1.034132	8.446360
2459357.983391	0.311059	0.001082	1.036441	8.186981
2459357.985524	0.307725	0.001083	1.038913	8.381648
2459357.987657	0.307150	0.001087	1.041544	8.485982
2459357.989789	0.305457	0.001078	1.044344	8.230080
2459357.991921	0.308507	0.001074	1.047310	8.216356
2459357.994053	0.304525	0.001068	1.050445	8.078159
2459357.996186	0.308507	0.001070	1.053757	7.840885
2459357.998318	0.307862	0.001064	1.057245	7.727121
2459358.000451	0.306130	0.001060	1.060903	7.816650
2459358.002582	0.306783	0.001064	1.064739	8.033819
2459358.004714	0.308485	0.001066	1.068764	8.258615
2459358.006848	0.305545	0.001063	1.072976	8.201196
2459358.008982	0.305136	0.001062	1.077383	8.207132
2459358.011113	0.306556	0.001055	1.081980	7.942854
2459358.013246	0.306899	0.001063	1.086766	8.219376
2459358.015378	0.306660	0.001066	1.091751	8.469166
2459358.017511	0.305479	0.001057	1.096947	8.219222
2459358.019643	0.307401	0.001058	1.102351	8.261503
2459358.021774	0.307209	0.001059	1.107967	8.436114
2459358.023907	0.305487	0.001053	1.113797	8.385247
2459358.026039	0.308109	0.001053	1.119848	8.328099
2459358.028171	0.309462	0.001053	1.126135	8.561398
2459358.030304	0.308678	0.001051	1.132654	8.536309
2459358.032436	0.308943	0.001051	1.139411	8.675439
2459358.034568	0.307609	0.001048	1.146413	8.878991
2459358.036701	0.306957	0.001050	1.153665	9.180622
2459358.038833	0.308085	0.001035	1.161172	8.933606
2459358.040965	0.304814	0.001017	1.168942	8.584929
2459358.043099	0.307174	0.001017	1.177007	8.791304
2459358.045231	0.307002	0.001011	1.185322	9.034712
2459358.047363	0.305911	0.000991	1.193937	8.569433
2459358.049495	0.305249	0.000982	1.202844	8.773909
2459358.051627	0.305844	0.000974	1.212054	8.884424
2459358.053759	0.306628	0.000971	1.221577	9.277150
2459358.055890	0.304703	0.000949	1.231423	9.313244
2459358.058022	0.306787	0.000936	1.241617	9.403752
2459358.060154	0.306639	0.000940	1.252156	9.994685
2459358.062287	0.305390	0.000927	1.263047	10.217599
2459358.064419	0.306707	0.000868	1.274283	9.543930
2459358.066551	0.306757	0.000842	1.285918	9.629540
2459358.068686	0.307329	0.000815	1.297966	9.619431
2459358.070818	0.306594	0.000778	1.310401	9.368632
2459358.072951	0.307759	0.000753	1.323251	9.368300
2459358.075083	0.308407	0.000739	1.336537	9.579481
2459358.077215	0.308132	0.000722	1.350293	9.368670
2459358.079348	0.307499	0.000706	1.364535	9.034509
2459358.081481	0.307866	0.000708	1.379243	9.383205
2459358.083614	0.307662	0.000712	1.394459	9.614413
2459358.085746	0.306619	0.000705	1.410222	9.489686
2459358.087878	0.307047	0.000700	1.426506	9.109111
2459358.090011	0.307531	0.000718	1.443392	9.784219
2459358.092143	0.307961	0.000714	1.460870	9.556758
2459358.094276	0.308058	0.000711	1.478990	9.592206
2459358.096408	0.307479	0.000719	1.497733	9.770704
2459358.098540	0.308018	0.000719	1.517149	9.514654
2459358.100673	0.307510	0.000716	1.537299	9.499383
2459358.102805	0.307946	0.000719	1.558192	9.482720
2459358.104939	0.308326	0.000729	1.579857	9.514937
2459358.107070	0.309268	0.000737	1.602332	9.705516
2459358.109202	0.307678	0.000740	1.625660	9.678679
2459358.111335	0.307658	0.000753	1.649872	9.592487
2459358.113469	0.307138	0.000780	1.675108	9.744938
2459358.115602	0.308365	0.000824	1.701249	9.746597
2459358.117735	0.307312	0.000907	1.728525	9.802156
2459358.119868	0.309227	0.001047	1.756839	10.027825
