#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS	Width_T1
2459357.955108	0.997824	0.001236	1.018474	9.800389
2459357.956129	0.999722	0.001238	1.018657	9.812856
2459357.957151	0.997772	0.001238	1.018874	9.707520
2459357.958172	1.000478	0.001241	1.019127	9.779941
2459357.959217	0.999691	0.001242	1.019420	9.763672
2459357.960238	0.999336	0.001241	1.019742	9.934711
2459357.961259	0.998387	0.001241	1.020098	9.980942
2459357.962280	0.998902	0.001245	1.020488	9.824865
2459357.963302	0.999481	0.001247	1.020912	9.551453
2459357.964323	0.999427	0.001251	1.021373	9.623920
2459357.965344	0.997851	0.001250	1.021867	9.816120
2459357.966365	1.001245	0.001251	1.022396	9.689663
2459357.967386	0.998111	0.001250	1.022959	9.997814
2459357.968407	0.997152	0.001252	1.023557	10.136597
2459357.969429	0.999330	0.001253	1.024192	9.725414
2459357.970451	1.002885	0.001253	1.024861	9.538824
2459357.971472	0.998127	0.001249	1.025564	9.248158
2459357.972493	0.999551	0.001248	1.026306	9.129481
2459357.973515	1.000700	0.001251	1.027082	9.293178
2459357.974536	0.998135	0.001250	1.027888	9.418250
2459357.975557	0.999977	0.001250	1.028736	8.967095
2459357.976578	1.000964	0.001250	1.029620	9.289884
2459357.977598	0.999275	0.001250	1.030535	9.024350
2459357.978620	1.001172	0.001251	1.031487	9.180070
2459357.979641	1.002051	0.001249	1.032479	9.306528
2459357.980663	0.999832	0.001249	1.033506	9.459549
2459357.981685	1.002644	0.001247	1.034571	9.500554
2459357.982706	1.003813	0.001247	1.035672	9.417097
2459357.983727	1.002132	0.001246	1.036811	9.111107
2459357.984752	1.002351	0.001248	1.037991	9.386487
2459357.985773	1.000504	0.001253	1.039201	9.507513
2459357.986794	1.001399	0.001255	1.040451	9.543431
2459357.987815	1.000333	0.001258	1.041740	9.658488
2459357.988836	0.997386	0.001259	1.043066	9.302769
2459357.989858	0.998890	0.001260	1.044430	9.457719
2459357.990879	0.998286	0.001258	1.045832	9.059960
2459357.991900	0.999357	0.001258	1.047273	9.259291
2459357.992923	0.998560	0.001255	1.048754	9.077871
2459357.993944	0.999935	0.001260	1.050272	9.218012
2459357.994965	0.999785	0.001259	1.051835	8.935563
2459357.995986	0.999000	0.001260	1.053438	8.825199
2459357.997008	1.000386	0.001258	1.055076	8.825420
2459357.998029	1.000604	0.001254	1.056753	8.662392
2459357.999050	1.000998	0.001253	1.058473	8.679166
2459358.000074	1.000879	0.001248	1.060232	8.793546
2459358.001094	1.001528	0.001248	1.062038	8.814230
2459358.002117	1.000624	0.001252	1.063885	9.023100
2459358.003140	1.000177	0.001256	1.065774	9.035709
2459358.004162	1.002035	0.001261	1.067699	9.042108
2459358.005184	1.000959	0.001266	1.069673	9.374072
2459358.006205	0.998042	0.001264	1.071684	9.262520
2459358.007227	0.998825	0.001261	1.073737	9.054902
2459358.008249	0.997153	0.001258	1.075847	9.407270
2459358.009270	0.998488	0.001257	1.077986	9.176173
2459358.010292	0.998879	0.001256	1.080177	8.909391
2459358.011314	0.999497	0.001260	1.082412	9.019078
2459358.012336	0.998852	0.001262	1.084693	8.950481
2459358.013357	0.999369	0.001259	1.087011	9.143878
2459358.014378	0.999530	0.001263	1.089382	9.404502
2459358.015402	0.998558	0.001268	1.091808	9.675845
2459358.016423	0.997201	0.001265	1.094264	9.194757
2459358.017444	0.999577	0.001269	1.096775	9.307071
2459358.018466	0.999851	0.001269	1.099334	9.137558
2459358.019487	1.000500	0.001267	1.101942	9.032484
2459358.020508	0.999137	0.001268	1.104598	9.550528
2459358.021529	0.999839	0.001265	1.107303	9.511860
2459358.022551	1.000799	0.001263	1.110057	9.451770
2459358.023572	1.001603	0.001261	1.112861	9.299294
2459358.024596	0.999521	0.001260	1.115725	9.625638
2459358.025617	0.999974	0.001265	1.118639	9.342773
2459358.026639	1.000202	0.001264	1.121595	9.363060
2459358.027661	1.001241	0.001261	1.124605	9.592479
2459358.028682	1.002988	0.001263	1.127678	9.592032
2459358.029707	1.002579	0.001262	1.130803	9.686253
2459358.030728	1.001069	0.001261	1.133984	9.552177
2459358.031749	0.999495	0.001259	1.137207	9.742684
2459358.032770	1.000224	0.001257	1.140487	9.782632
2459358.033792	0.999630	0.001256	1.143836	10.107140
2459358.034813	0.996171	0.001253	1.147228	9.915914
2459358.035859	0.997245	0.001252	1.150776	9.970103
2459358.036881	0.997153	0.001249	1.154285	10.463003
2459358.037902	0.997728	0.001248	1.157852	10.379089
2459358.038924	0.997214	0.001247	1.161493	9.965848
2459358.039945	0.994393	0.001245	1.165195	9.546916
2459358.040968	0.996302	0.001243	1.168957	9.662169
2459358.041989	0.994051	0.001239	1.172779	9.675947
2459358.043009	0.996967	0.001243	1.176664	9.757137
2459358.044031	0.996515	0.001244	1.180600	10.342641
2459358.045053	0.996913	0.001242	1.184628	9.921235
2459358.046074	0.994998	0.001238	1.188694	10.083808
2459358.047096	0.995168	0.001236	1.192824	9.540356
2459358.048116	0.996738	0.001234	1.197037	9.457884
2459358.049136	0.996069	0.001235	1.201319	9.777914
2459358.050158	0.996117	0.001235	1.205668	9.884787
2459358.051179	0.996395	0.001237	1.210086	9.904094
2459358.052200	0.992936	0.001236	1.214576	10.201994
2459358.053222	0.994700	0.001235	1.219138	9.955026
2459358.054243	0.995332	0.001237	1.223775	10.891976
2459358.055264	0.994767	0.001233	1.228488	10.450528
2459358.056285	0.995288	0.001231	1.233276	10.581598
2459358.057307	0.997552	0.001233	1.238155	10.461732
2459358.058328	0.997223	0.001233	1.243112	10.625936
2459358.059350	0.998083	0.001237	1.248133	11.237473
2459358.060373	0.995472	0.001239	1.253235	11.284218
2459358.061395	0.995154	0.001247	1.258417	11.942536
2459358.062417	0.994592	0.001241	1.263717	11.989324
