#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS	Width_T1
2459357.955669	0.999484	0.001678	1.018583	9.681095
2459357.957802	1.001016	0.001682	1.019044	9.620565
2459357.959935	1.000405	0.001684	1.019655	9.766141
2459357.962068	1.000544	0.001688	1.020415	9.693741
2459357.964201	1.003313	0.001689	1.021327	9.577191
2459357.966334	1.002790	0.001690	1.022391	9.799355
2459357.968467	0.998166	0.001688	1.023606	9.993014
2459357.970601	0.999211	0.001682	1.024973	9.361816
2459357.972734	0.998852	0.001681	1.026492	9.126530
2459357.974868	1.001906	0.001683	1.028174	9.224982
2459357.977000	0.997389	0.001678	1.030006	9.037399
2459357.979132	0.998037	0.001679	1.031993	9.146687
2459357.985529	1.002222	0.001679	1.038921	9.334725
2459357.987661	0.999894	0.001683	1.041553	9.565227
2459357.989794	1.001264	0.001681	1.044353	9.278176
2459357.991927	1.002826	0.001676	1.047320	9.179857
2459357.994060	0.998984	0.001671	1.050456	9.024450
2459357.996192	0.999510	0.001666	1.053769	8.696260
2459357.998325	0.999056	0.001662	1.057257	8.589018
2459358.000458	1.001192	0.001666	1.060916	8.709072
2459358.002589	0.999000	0.001661	1.064752	9.011101
2459358.004721	0.997397	0.001669	1.068778	9.132337
2459358.006854	0.994818	0.001665	1.072990	9.090659
2459358.008986	1.001408	0.001671	1.077390	9.213085
2459358.011120	0.997382	0.001664	1.081988	8.886587
2459358.013252	1.000109	0.001670	1.086782	9.182283
2459358.015386	1.000419	0.001677	1.091768	9.420026
2459358.017518	0.996995	0.001673	1.096964	9.065463
2459358.019649	1.000743	0.001674	1.102370	9.242108
2459358.021781	1.000262	0.001675	1.107977	9.415258
2459358.023912	0.998938	0.001672	1.113808	9.337163
2459358.026045	1.001392	0.001672	1.119868	9.308891
2459358.030312	1.003604	0.001668	1.132676	9.561063
2459358.032443	1.002256	0.001658	1.139434	9.720365
2459358.034575	1.001009	0.001657	1.146437	9.972114
2459358.036708	0.999164	0.001650	1.153689	10.334543
2459358.038840	0.999385	0.001643	1.161198	9.934394
2459358.040973	0.998015	0.001628	1.168969	9.652198
2459358.043106	0.996105	0.001622	1.177034	9.791500
2459358.045238	0.996865	0.001616	1.185350	10.047858
2459358.047369	0.995244	0.001601	1.193967	9.547771
2459358.049504	0.997565	0.001594	1.202890	9.814602
2459358.051637	0.996631	0.001583	1.212101	9.965922
2459358.053771	0.996011	0.001573	1.221641	10.433791
2459358.055903	0.994881	0.001553	1.231490	10.447411
2459358.058034	0.994188	0.001537	1.241686	10.619349
2459358.060167	0.994972	0.001531	1.252209	11.468902
2459358.062299	0.993777	0.001512	1.263084	11.811585
2459358.064430	1.000111	0.001467	1.274341	10.775478
2459358.066562	0.997404	0.001435	1.285977	10.956828
2459358.068694	0.996973	0.001398	1.298007	10.930451
2459358.070827	0.999282	0.001358	1.310443	10.541470
2459358.072958	1.002216	0.001323	1.323295	10.545709
2459358.075091	1.000323	0.001290	1.336605	10.783409
2459358.077224	1.000141	0.001268	1.350363	10.510719
2459358.079357	1.001959	0.001248	1.364584	10.092536
2459358.081488	1.001162	0.001243	1.379293	10.563349
2459358.083620	0.999498	0.001242	1.394510	10.909200
2459358.085752	0.999506	0.001237	1.410274	10.689194
2459358.087885	0.998609	0.001232	1.426561	10.155385
2459358.090016	1.000427	0.001243	1.443422	11.128499
2459358.092148	1.000607	0.001241	1.460899	10.811730
2459358.094283	1.000829	0.001239	1.479052	10.800767
2459358.096416	0.996815	0.001245	1.497797	11.015686
2459358.098548	0.999985	0.001253	1.517215	10.689712
2459358.100681	0.998894	0.001249	1.537367	10.649508
2459358.102816	1.000292	0.001255	1.558263	10.634901
2459358.104948	0.999872	0.001261	1.579930	10.729728
2459358.107081	0.999084	0.001266	1.602445	10.936609
2459358.109213	0.996727	0.001268	1.625777	10.899740
2459358.111344	0.999148	0.001280	1.649996	10.787221
2459358.113477	1.002225	0.001300	1.675192	11.006450
2459358.115609	1.001845	0.001327	1.701383	10.965560
2459358.117742	1.001845	0.001387	1.728569	11.157543
2459358.119874	0.999422	0.001484	1.756839	11.476591
