#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS	Width_T1
2459357.955015	0.999993	0.001144	1.018455	9.437306
2459357.955829	0.999173	0.001148	1.018596	9.441473
2459357.956643	1.000947	0.001149	1.018758	9.374443
2459357.957456	0.998348	0.001151	1.018942	9.290591
2459357.958313	1.000274	0.001152	1.019160	9.419461
2459357.959127	1.000465	0.001151	1.019389	9.408193
2459357.959941	0.999976	0.001149	1.019639	9.406688
2459357.960754	0.998966	0.001150	1.019912	9.475585
2459357.961567	1.002262	0.001151	1.020206	9.604675
2459357.962380	1.000870	0.001151	1.020521	9.412170
2459357.963193	0.999817	0.001154	1.020860	9.173413
2459357.964006	1.001558	0.001159	1.021220	9.111543
2459357.964820	1.001293	0.001162	1.021603	9.373178
2459357.965634	0.998664	0.001159	1.022008	9.388721
2459357.966448	1.001376	0.001156	1.022431	9.284183
2459357.967262	0.998893	0.001156	1.022880	9.536717
2459357.968075	0.999550	0.001161	1.023351	9.645601
2459357.968888	1.001471	0.001166	1.023844	9.742237
2459357.969701	1.000229	0.001160	1.024357	9.112261
2459357.970514	1.000066	0.001161	1.024893	9.115237
2459357.971327	0.999766	0.001158	1.025454	8.925859
2459357.972139	0.999226	0.001157	1.026037	8.763145
2459357.972952	0.997800	0.001156	1.026639	8.778564
2459357.973766	1.000165	0.001159	1.027263	8.995430
2459357.974579	1.002378	0.001162	1.027913	8.981861
2459357.975393	0.998943	0.001158	1.028586	8.676895
2459357.976209	1.000733	0.001159	1.029284	8.764399
2459357.977021	0.997702	0.001158	1.029999	8.729391
2459357.977835	1.000210	0.001158	1.030743	8.727490
2459357.978649	1.001419	0.001160	1.031506	8.775018
2459357.979463	0.997673	0.001156	1.032293	8.938210
2459357.980276	0.999538	0.001155	1.033102	8.940502
2459357.981089	1.000117	0.001155	1.033935	8.973604
2459357.981904	1.003822	0.001155	1.034795	9.229812
2459357.982716	1.002445	0.001154	1.035675	9.007207
2459357.983531	1.002562	0.001151	1.036577	8.735177
2459357.984347	1.002057	0.001154	1.037504	8.969779
2459357.985160	1.001285	0.001156	1.038455	8.937244
2459357.985999	1.001174	0.001163	1.039465	9.038362
2459357.986812	1.001860	0.001168	1.040463	9.164291
2459357.987625	1.002372	0.001171	1.041485	9.267702
2459357.988438	0.999177	0.001172	1.042532	8.972549
2459357.989252	0.999554	0.001174	1.043602	9.039136
2459357.990066	1.000053	0.001174	1.044697	8.987921
2459357.990880	1.000397	0.001174	1.045815	8.686888
2459357.991696	0.998420	0.001175	1.046969	8.989975
2459357.992511	0.999444	0.001173	1.048137	8.766051
2459357.993324	0.996983	0.001172	1.049330	8.697889
2459357.994137	1.000711	0.001177	1.050547	8.927896
2459357.994951	1.000205	0.001175	1.051794	8.490080
2459357.995764	1.000916	0.001179	1.053067	8.504947
2459357.996577	0.998564	0.001177	1.054359	8.377087
2459357.997391	0.999443	0.001174	1.055677	8.367891
2459357.998206	0.998715	0.001167	1.057027	8.236067
2459357.999018	0.999293	0.001163	1.058397	8.292706
2459357.999832	0.999638	0.001161	1.059799	8.425906
2459358.000645	0.998366	0.001158	1.061219	8.521867
2459358.001458	0.998923	0.001160	1.062667	8.486069
2459358.002272	1.001372	0.001166	1.064146	8.619059
2459358.003085	1.000626	0.001171	1.065646	8.702576
2459358.003899	1.000721	0.001176	1.067178	8.670868
2459358.004712	1.001162	0.001182	1.068731	8.862389
2459358.005526	1.000379	0.001182	1.070318	9.036772
2459358.006339	0.997971	0.001181	1.071933	8.919372
2459358.007153	0.994931	0.001169	1.073567	8.692035
2459358.007967	0.998913	0.001174	1.075236	9.120301
2459358.008780	1.001812	0.001173	1.076925	8.945531
2459358.009593	0.999207	0.001169	1.078648	8.713905
