# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 15 12:45:51 2022
#
# User preference: *
#
# CONSTRAINT:  where (st_teff in [3000, 3400]
# CONSTRAINT:  and st_dens not null)
#
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_dens:        Stellar Density [g/cm**3]
#
hostname,st_teff,st_dens
GJ 1214,3026.00,23.9000
GJ 1214,3026.00,23.9000
LHS 3844,3036.00,31.7300
LHS 3844,3036.00,31.7300
Kepler-42,3068.00,22.9616
Kepler-42,3068.00,22.9616
Kepler-42,3068.00,22.9616
Kepler-42,3068.00,8.0832
Kepler-42,3068.00,8.0832
Kepler-42,3068.00,275.7932
Kepler-42,3068.00,275.7932
Kepler-42,3068.00,275.7932
Ross 508,3071.00,26.5000
TOI-1227,3072.00,1.3252
GJ 1214,3074.00,26.2020
GJ 1214,3074.00,26.2020
GJ 1214,3074.00,26.2020
Kepler-1582,3089.00,21.1483
Kepler-1582,3089.00,21.1483
Kepler-1582,3089.00,21.1483
TOI-2406,3100.00,26.9000
Kepler-445,3143.00,14.3926
Kepler-445,3143.00,14.3926
Kepler-445,3143.00,14.3926
Kepler-445,3143.00,14.3926
Kepler-445,3143.00,14.3926
Kepler-1582,3148.00,26.1270
Kepler-1582,3148.00,26.1270
Kepler-445,3157.00,10.5555
Kepler-445,3157.00,5.5656
TOI-1696,3168.00,16.3000
GJ 1214,3170.00,38.4000
K2-25,3180.00,15.9000
K2-25,3180.00,15.9000
TOI-1452,3185.00,16.8000
TOI-1696,3185.00,16.8000
Kepler-1582,3187.00,34.4991
K2-25,3204.00,15.3128
K2-25,3207.00,14.6000
Kepler-1624,3212.00,7.0808
Kepler-1624,3212.00,7.0808
TOI-237,3212.00,25.6000
TOI-237,3212.00,25.6000
K2-28,3214.00,15.2000
K2-28,3214.00,10.8000
Kepler-445,3219.00,8.0100
Kepler-445,3219.00,8.0100
Kepler-445,3219.00,8.0100
Kepler-1646,3227.00,63.2850
Kepler-1646,3236.00,59.1731
GJ 1214,3250.00,25.4000
GJ 1214,3250.00,22.8900
Kepler-42,3258.00,26.8000
Kepler-42,3258.00,26.8000
Kepler-42,3258.00,26.8000
K2-332,3266.00,15.3632
Kepler-1649,3269.00,22.9200
Kepler-1649,3269.00,22.9200
TOI-3884,3269.00,14.3000
GJ 1132,3270.00,29.6000
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 876,3271.00,10.8656
GJ 1148,3287.00,10.5255
GJ 1148,3287.00,10.5255
GJ 1148,3287.00,10.5255
Kepler-42,3292.00,15.9901
Kepler-42,3292.00,13.2573
Kepler-42,3292.00,64.0474
K2-315,3300.00,32.6000
Kepler-1650,3304.00,10.1860
Kepler-1650,3304.00,10.1860
Kepler-1650,3304.00,10.1860
2MASS J01225093-2439505,3309.00,10.1187
K2-33,3318.00,0.6537
K2-91,3326.00,10.3669
Kepler-445,3327.00,8.5512
Kepler-445,3327.00,8.5512
Kepler-445,3327.00,8.5512
Kepler-445,3327.00,13.6275
Kepler-445,3327.00,13.6275
Kepler-445,3327.00,13.6275
Kepler-445,3327.00,13.6772
LTT 1445 A,3337.00,17.3000
Kepler-1855,3339.00,4.9953
Kepler-1855,3339.00,4.9953
Kepler-1855,3339.00,4.9953
K2-288 B,3341.00,14.2000
TOI-2136,3342.00,12.2000
GJ 3473,3347.00,10.9300
GJ 3473,3347.00,10.9300
G 9-40,3348.00,14.1100
GJ 436,3350.00,6.4300
GJ 436,3350.00,6.4300
TOI-519,3350.00,12.2000
Kepler-42,3357.00,37.5148
Kepler-42,3357.00,37.5148
Kepler-42,3357.00,37.5148
K2-146,3359.00,12.4895
K2-146,3359.00,12.4895
LTT 3780,3360.00,9.6000
LTT 3780,3360.00,9.6000
Kepler-1650,3364.00,0.6213
TOI-2136,3366.00,12.6800
L 98-59,3367.00,15.8000
L 98-59,3367.00,15.8000
L 98-59,3367.00,15.8000
GJ 3929,3369.00,14.9600
TOI-2136,3373.00,11.3800
LHS 1478,3381.00,22.2000
GJ 3929,3384.00,13.3000
GJ 3929,3384.00,13.3000
K2-146,3385.00,13.1000
K2-146,3385.00,13.1000
Kepler-1624,3386.00,7.2877
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
Kepler-446,3386.00,25.3571
TOI-270,3386.00,10.5000
TOI-270,3386.00,10.5000
TOI-270,3386.00,10.5000
Kepler-560,3387.00,27.0227
Kepler-560,3387.00,27.0227
Kepler-560,3387.00,27.0227
K2-9,3390.00,9.8800
Kepler-1646,3391.00,9.7846
Kepler-1646,3391.00,9.7846
Kepler-560,3395.00,9.8259
GJ 581,3396.00,12.2238
GJ 581,3396.00,12.2238
GJ 581,3396.00,12.2238
GJ 581,3396.00,12.2238
GJ 581,3396.00,12.2238
GJ 581,3396.00,12.2238
KOI-4777,3396.00,3.3378
KOI-4777,3396.00,3.3378
KOI-4777,3396.00,3.3378
K2-146,3398.00,2.3520
Kepler-1319,3400.00,36.7621
Kepler-1319,3400.00,36.7621
Kepler-1319,3400.00,36.7621
