Target = TOI2266
Date_Obs [UT] = 2021-02-24
Telescope = Palomar-5m
Instrument = PHARO
Filter = Brgamma
Pixel_Scale [arsec/pix] = 0.025
PSF_FWHM [arcsec] = 0.108273
PI: Ciardi
arcsec, dmag, dmrms
0.000, 0.000, 0.000
0.123, 2.839, 0.522
0.224, 3.791, 0.278
0.329, 5.762, 0.254
0.437, 6.241, 0.158
0.544, 6.778, 0.181
0.652, 7.405, 0.338
0.760, 7.424, 0.243
0.868, 7.615, 0.158
0.976, 7.707, 0.089
1.084, 7.780, 0.070
1.192, 7.782, 0.099
1.301, 7.882, 0.065
1.408, 7.866, 0.060
1.517, 7.888, 0.078
1.625, 7.914, 0.047
1.733, 7.912, 0.066
1.842, 7.942, 0.042
1.950, 7.942, 0.043
2.058, 7.909, 0.046
2.166, 7.921, 0.032
2.275, 7.911, 0.031
2.383, 7.932, 0.034
2.491, 7.947, 0.047
2.599, 7.955, 0.038
2.707, 7.937, 0.036
2.815, 7.914, 0.040
2.924, 7.926, 0.036
3.032, 7.926, 0.020
3.140, 7.922, 0.039
3.249, 7.921, 0.035
3.357, 7.931, 0.034
3.465, 7.950, 0.035
3.573, 7.918, 0.034
3.681, 7.939, 0.030
3.790, 7.934, 0.036
3.898, 7.934, 0.035
4.006, 7.919, 0.035
4.115, 7.934, 0.029
4.223, 7.939, 0.031
4.331, 7.927, 0.028
4.439, 7.927, 0.025
4.548, 7.907, 0.039
4.656, 7.909, 0.036
4.764, 7.927, 0.022
4.873, 7.950, 0.031
4.981, 7.940, 0.032
5.089, 7.929, 0.036
5.197, 7.930, 0.037
5.306, 7.925, 0.044
5.414, 7.944, 0.030
5.522, 7.945, 0.023
5.630, 7.935, 0.026
5.739, 7.929, 0.037
5.847, 7.928, 0.030
5.955, 7.938, 0.032
6.063, 7.928, 0.031
6.172, 7.940, 0.021
6.280, 7.923, 0.038
6.388, 7.923, 0.021
6.497, 7.959, 0.039
6.605, 7.926, 0.038
6.713, 7.919, 0.029
6.822, 7.924, 0.028
6.930, 7.946, 0.021
7.038, 7.935, 0.032
7.146, 7.938, 0.044
7.254, 7.929, 0.038
7.363, 7.937, 0.028
7.471, 7.930, 0.027
7.579, 7.945, 0.029
7.688, 7.933, 0.020
7.796, 7.935, 0.029
7.904, 7.929, 0.033
8.012, 7.920, 0.042
8.121, 7.921, 0.040
8.229, 7.918, 0.040
8.337, 7.928, 0.039
8.446, 7.910, 0.037
8.554, 7.900, 0.043
8.662, 7.891, 0.041
8.770, 7.901, 0.054
8.879, 7.889, 0.047
8.987, 7.910, 0.054
9.095, 7.878, 0.060
9.203, 7.862, 0.060
9.312, 7.854, 0.070
9.420, 7.858, 0.058
9.528, 7.857, 0.059
9.636, 7.835, 0.061
9.745, 7.863, 0.076
9.853, 7.839, 0.072
