Target = TOI2266
Date_Obs [UT] = 2021-03-28
Telescope = Shane-3m 
Instrument = ShARCS 
Filter = J
Pixel_Scale [arcsec/pixel] = 0.033 
PSF_FWHM [arcsec] = 0.355 
PI: Dressing 
arcsec, dmag, dmrms 
0.000, 0.000, 0.000 
0.355, 1.355, 0.302 
0.711, 2.610, 0.180 
1.066, 3.614, 0.097 
1.422, 4.414, 0.065 
1.777, 5.159, 0.072 
2.133, 5.773, 0.120 
2.488, 6.294, 0.244 
2.843, 6.750, 0.343 
3.199, 7.113, 0.383 
3.554, 7.461, 0.462 
3.910, 7.753, 0.549 
4.265, 8.129, 0.707 
4.621, 8.336, 0.796 
4.976, 8.534, 0.847 
5.331, 8.708, 0.948 
5.687, 8.985, 1.091 
6.042, 9.501, 1.401 
6.398, 10.041, 1.753 
6.753, 10.421, 2.053 
7.108, 10.861, 2.399 
7.464, 11.171, 2.643 
7.819, 11.964, 3.281 
8.175, 13.324, 4.500 
8.530, 14.727, 5.820 
8.886, 15.982, 6.957 
9.241, 20.768, 11.517 
9.596, 25.599, 16.150 
9.952, 41.170, 31.595 
