Target = TOI2266
Date_Obs [UT] = 2021-03-28
Telescope = Shane-3m 
Instrument = ShARCS 
Filter = Ks
Pixel_Scale [arcsec/pixel] = 0.033 
PSF_FWHM [arcsec] = 0.295 
PI: Dressing 
arcsec, dmag, dmrms 
0.000, 0.000, 0.000 
0.295, 1.398, 0.426 
0.590, 2.795, 0.540 
0.886, 3.724, 0.150 
1.181, 4.532, 0.081 
1.476, 5.137, 0.080 
1.771, 5.711, 0.209 
2.066, 6.138, 0.301 
2.361, 6.457, 0.396 
2.656, 6.710, 0.475 
2.952, 6.873, 0.532 
3.247, 7.079, 0.613 
3.542, 7.078, 0.601 
3.837, 7.236, 0.671 
4.132, 7.364, 0.727 
4.427, 7.521, 0.811 
4.723, 7.603, 0.842 
5.018, 7.666, 0.897 
5.313, 7.779, 0.951 
5.608, 7.938, 1.037 
5.903, 8.112, 1.089 
6.198, 8.424, 1.295 
6.494, 8.835, 1.582 
6.789, 9.085, 1.788 
7.084, 9.353, 1.951 
7.379, 9.500, 2.034 
7.674, 9.742, 2.232 
7.969, 10.357, 2.720 
8.265, 10.778, 3.065 
8.560, 11.361, 3.475 
8.855, 12.222, 4.153 
9.150, 12.577, 4.398 
9.445, 15.304, 6.974 
9.740, 18.953, 10.497 
